Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (curve),Error (g80),Error (g72),Error (g126),Error (g223),Error (g262),Error (g237),Error (g56),Reduced Error
870.9,0.54269,137.8,2.6433,0.15636,0.4649,0.24884,0.0933,0.18377,0.17668,0.07427,0.15811,0.10374,1.6599706895616757
870.92,0.53747,136.53,2.6497,0.15622,0.47452,0.24893,0.093492,0.18372,0.17669,0.0742,0.15793,0.10366,1.6693690371865462
840.63,0.56526,146.16,2.4928,0.15928,0.49901,0.24766,0.091205,0.18517,0.17625,0.075749,0.16174,0.10517,1.7012321896345521
869.35,0.5213,137.35,2.727,0.15481,0.52914,0.24975,0.098181,0.18313,0.1769,0.073489,0.15605,0.10301,1.7244688642529278
834.91,0.56896,150.12,2.4982,0.15917,0.5294,0.24774,0.091196,0.18511,0.17629,0.075691,0.16162,0.10514,1.7313588853405435
867.27,0.51539,136.33,2.8521,0.1527,0.5344,0.25105,0.11342,0.18223,0.17717,0.07245,0.15305,0.10208,1.738550142064625
840.99,0.55639,151.88,2.546,0.1582,0.55688,0.24819,0.091722,0.18465,0.17647,0.075177,0.16041,0.10468,1.7563820453604277
836.82,0.58203,147.28,2.4785,0.15958,0.55583,0.24751,0.091184,0.18532,0.1762,0.075943,0.1621,0.10534,1.7589971680680083
828.36,0.55623,150.57,2.5236,0.15859,0.56214,0.24812,0.091498,0.18491,0.17639,0.075375,0.16088,0.10484,1.76274448931975
848.47,0.55809,152.79,2.4383,0.1603,0.58024,0.24731,0.091157,0.18574,0.17608,0.076415,0.16285,0.10571,1.785813692298332
