Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g262),Error (curve),Error (g14),Error (g95),Error (g240),Error (g72),Error (g287),Error (g101),Error (g207),Reduced Error
191.93,76.224,706.78,828.44,346.6,500.72,419.73,3.0237,0.13943,0.51374,0.05077,0.16837,0.21461,0.10933,0.091677,0.042436,0.03775,1.3681185437617207
191.9,76.225,702.45,828.17,346.6,500.72,419.75,3.0399,0.13938,0.51556,0.050772,0.16817,0.21461,0.10935,0.091712,0.042378,0.037788,1.3697048823720332
191.92,76.314,706.77,828.43,341.28,500.04,419.38,3.0238,0.1395,0.5191,0.05084,0.16853,0.2146,0.10943,0.091625,0.042326,0.037637,1.3735780604447545
190.95,76.266,674.62,828.4,346.6,500.72,419.11,3.024,0.13984,0.52093,0.050978,0.16897,0.21459,0.10977,0.091478,0.042028,0.037376,1.3759646112418669
196.1,75.881,705.48,824.24,344.03,500.75,417.07,3.0355,0.13943,0.52319,0.050785,0.16844,0.21461,0.10944,0.091669,0.042357,0.037641,1.3775685861539695
191.42,76.364,686.73,828.13,344.31,501.08,419.19,3.0245,0.13972,0.52607,0.050934,0.16877,0.2146,0.10967,0.091543,0.042091,0.037462,1.3808568162865598
191.75,76.241,707.28,827.87,345.85,516.82,417.97,3.0856,0.13925,0.52809,0.050667,0.16787,0.21476,0.10961,0.092047,0.04226,0.037921,1.3824666173337874
191.77,76.2,707.17,827.93,345.88,516.81,418.0,3.0852,0.13925,0.52809,0.050663,0.16789,0.21475,0.1096,0.092046,0.04228,0.037927,1.3824968013815166
191.64,76.131,707.13,827.51,345.88,516.85,418.0,3.0842,0.13924,0.52938,0.050658,0.16792,0.21475,0.10961,0.092044,0.042306,0.037932,1.3838397787361
192.38,75.985,706.49,828.95,346.62,500.75,420.89,3.0827,0.13894,0.53167,0.050632,0.16727,0.21461,0.10909,0.091933,0.042593,0.038158,1.3848889834721048
