Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (g63),Error (g86),Error (g59),Error (g237),Error (curve),Error (g303),Reduced Error
222.09,414.08,62.556,13.728,5.46e-05,0.1313,0.05609,0.063358,0.089085,0.16073,0.067649,0.568210886134549
237.47,164.07,63.49,14.824,5.165e-05,0.13191,0.057274,0.06245,0.083943,0.17225,0.069931,0.5777520478864996
236.24,160.76,63.389,14.81,5.1598e-05,0.13188,0.057281,0.062461,0.083908,0.17252,0.069921,0.5779725101476132
237.72,149.9,63.245,14.838,5.1605e-05,0.13195,0.057351,0.062403,0.083559,0.17278,0.070055,0.5780897893539059
235.86,165.04,63.587,14.839,5.1624e-05,0.13186,0.057266,0.062471,0.084036,0.17276,0.069866,0.5782522556512992
227.42,327.48,62.191,14.771,5.1598e-05,0.13172,0.056478,0.063012,0.087199,0.1733,0.068867,0.5805787391381337
225.7,274.34,63.455,13.995,4.5502e-05,0.13061,0.05629,0.063294,0.086567,0.17513,0.069118,0.5810097080576277
238.46,151.18,62.929,14.81,5.22e-05,0.13204,0.057357,0.062384,0.083563,0.17746,0.070069,0.5828786530718486
236.23,199.12,63.344,14.569,5.1361e-05,0.13177,0.05703,0.062611,0.084832,0.17715,0.069661,0.5830492244680021
237.01,154.87,63.797,14.556,5.1339e-05,0.13172,0.057263,0.062501,0.08375,0.17852,0.069964,0.5837176318775136
