Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g80),Error (g51),Error (g72),Error (curve),Error (g56),Error (g126),Error (g237),Error (g223),Reduced Error
580.66,395.51,44.501,186.53,163.44,131.12,61.553,10.961,0.1196,0.27087,0.13176,0.10479,0.36615,0.025598,0.025663,0.10019,0.12522,1.2698364165973368
580.76,403.47,44.109,185.69,163.03,129.0,61.546,10.956,0.11954,0.27096,0.1318,0.10424,0.3713,0.02571,0.025635,0.1001,0.12512,1.2744036290047358
580.51,408.29,41.274,186.96,162.41,130.66,61.708,10.961,0.11955,0.27089,0.13201,0.10443,0.37685,0.025761,0.025684,0.1004,0.1252,1.2807764814356257
573.36,407.16,43.145,189.3,151.12,128.7,61.51,10.848,0.11982,0.2708,0.13212,0.10419,0.38066,0.025728,0.025867,0.10022,0.12401,1.2834094543847243
573.14,404.09,43.523,192.55,151.3,124.44,61.665,10.848,0.11982,0.27064,0.13198,0.10407,0.38266,0.025615,0.025878,0.10032,0.12413,1.2851089853862272
572.4,413.15,41.983,187.19,151.86,121.8,62.029,10.847,0.11976,0.27084,0.13212,0.10258,0.38623,0.025842,0.025777,0.10022,0.12434,1.2877071119562487
572.9,408.26,41.27,189.06,150.95,127.38,62.172,10.841,0.11983,0.27072,0.13222,0.10385,0.38622,0.025762,0.025888,0.10043,0.12425,1.2891636071356696
569.7,386.93,44.674,193.01,152.85,126.63,62.281,10.845,0.11992,0.27047,0.13177,0.10489,0.38645,0.025366,0.025944,0.10039,0.12434,1.28956042552185
576.07,413.08,41.971,186.88,151.91,121.81,62.02,10.928,0.11973,0.27091,0.1321,0.10271,0.38884,0.025869,0.025767,0.10019,0.12426,1.2903704872381236
571.74,414.46,41.874,182.7,151.78,123.86,61.759,10.929,0.11975,0.27111,0.13218,0.10223,0.38988,0.025976,0.025732,0.099977,0.1241,1.2909330183174277
