Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g237),Error (g72),Error (g56),Error (g126),Error (g51),Error (g223),Error (g80),Error (curve),Reduced Error
1852.3,0.13622,130.7,3.589,0.11249,0.12059,0.10633,0.080958,0.045423,0.14933,0.14659,0.24312,0.27019,1.2750253408925911
1859.3,0.13613,127.85,3.5952,0.11249,0.12034,0.10622,0.080796,0.045112,0.14927,0.14651,0.24321,0.2754,1.2793508850351984
1851.1,0.13478,129.42,3.5683,0.11254,0.121,0.10618,0.081327,0.045762,0.14959,0.14675,0.243,0.27408,1.28021874089946
1852.5,0.13703,130.72,3.6942,0.11239,0.11844,0.10725,0.078702,0.043567,0.1481,0.14571,0.24384,0.28474,1.2827518172457086
1851.9,0.13626,130.15,3.7954,0.11244,0.11644,0.10771,0.07634,0.042096,0.14702,0.14491,0.24468,0.29181,1.2834504567690774
1854.9,0.13623,130.64,3.5785,0.1125,0.12082,0.10626,0.081185,0.045627,0.14946,0.14668,0.24304,0.27938,1.2849491978582104
1852.4,0.13624,131.72,3.6091,0.11246,0.12019,0.10651,0.080548,0.045093,0.14909,0.14643,0.24324,0.28359,1.2871395575952203
1856.9,0.13259,132.6,3.5635,0.11254,0.12122,0.1064,0.081414,0.046052,0.14963,0.14682,0.24291,0.2826,1.2895850516932774
1926.6,0.13442,128.92,3.669,0.11238,0.11885,0.10711,0.079238,0.043788,0.1484,0.14593,0.24367,0.29412,1.2934925188132622
1937.5,0.1339,127.03,3.6041,0.11243,0.1201,0.10634,0.080637,0.044821,0.14916,0.14646,0.24326,0.29333,1.2965289849384471
