Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g59),Error (g63),Error (g86),Error (g303),Error (g237),Reduced Error
317.13,0.67955,111.46,1.9519,1.2291,0.09486,0.16676,0.087232,0.05914,0.15024,1.787370097466607
317.08,0.67969,111.43,1.9522,1.2292,0.094858,0.16675,0.087227,0.059138,0.15024,1.7874158325074916
318.04,0.68028,111.4,1.9437,1.2288,0.094935,0.16691,0.08735,0.059179,0.15034,1.7875248125100802
318.04,0.68026,111.58,1.9449,1.229,0.09492,0.16691,0.087347,0.05918,0.15033,1.7876405795990264
318.03,0.68027,111.76,1.9382,1.2286,0.095004,0.16703,0.087508,0.059292,0.15049,1.7879261068683263
317.34,0.69808,109.64,1.9552,1.2308,0.094772,0.16662,0.08699,0.058871,0.14999,1.7880935691650033
318.79,0.67784,110.21,1.8589,1.2227,0.095978,0.16817,0.088957,0.060261,0.15212,1.788167673346505
318.74,0.67799,110.19,1.8592,1.2227,0.095976,0.16816,0.088952,0.060257,0.15212,1.7881858916764786
315.24,0.69293,111.47,1.9457,1.229,0.094966,0.16685,0.087512,0.059345,0.15055,1.7882367063306028
318.77,0.68036,111.39,1.8564,1.2221,0.096,0.1683,0.089175,0.060416,0.15227,1.788270653595218
