Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g63),Error (curve),Error (g237),Error (g59),Error (g86),Reduced Error
1977.3,0.12682,126.83,5.2564,0.058003,0.13234,0.12534,0.099646,0.068937,0.054663,0.5389362878124024
1975.8,0.12686,126.81,5.2564,0.058002,0.13234,0.1256,0.099646,0.068938,0.054664,0.5391891967878898
1977.4,0.12702,126.83,5.2569,0.058007,0.13235,0.12589,0.099639,0.068933,0.054662,0.5394796025846408
1968.7,0.12686,127.26,5.2514,0.057975,0.13232,0.12759,0.099697,0.068959,0.054667,0.5412056622180969
1964.1,0.12784,126.79,5.3155,0.058196,0.13221,0.12839,0.099252,0.068901,0.054634,0.5415836896761146
1966.4,0.12732,126.69,5.2674,0.058036,0.13231,0.12843,0.099573,0.068937,0.054658,0.5419479049408202
1958.7,0.12808,126.66,5.3012,0.058149,0.13224,0.12886,0.099343,0.068914,0.05464,0.5421410722983178
1989.3,0.12488,127.75,5.1872,0.05776,0.13245,0.12843,0.10015,0.069012,0.054705,0.542508714003632
1968.8,0.12703,126.6,5.2848,0.058094,0.13228,0.1296,0.099458,0.068924,0.054651,0.5430085836316454
1976.1,0.12638,126.71,5.2481,0.057972,0.13236,0.12938,0.099708,0.06895,0.05467,0.5430415286590969
