Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g303),Error (curve),Error (g63),Error (g59),Error (g86),Reduced Error
602.47,19.711,59.382,17.71,0.15839,0.094513,0.72807,0.20436,0.075427,0.14214,1.4029121983714168
568.6,19.541,63.552,17.713,0.15767,0.093792,0.77355,0.20345,0.075055,0.14082,1.4443334338066531
555.88,19.913,62.541,16.642,0.15877,0.094771,0.81422,0.20331,0.075894,0.14159,1.4885428955082503
557.29,19.955,62.014,16.638,0.1589,0.094912,0.82105,0.20348,0.075954,0.14184,1.4961372411940488
558.52,19.955,70.593,17.945,0.15739,0.093801,0.89626,0.20453,0.07459,0.14162,1.5681883353822643
595.0,19.901,54.203,16.655,0.15979,0.095661,0.90262,0.20407,0.076506,0.14292,1.5815757877757215
518.8,19.78,68.71,17.904,0.15746,0.093829,0.92008,0.20393,0.07473,0.14122,1.591254116331483
493.42,17.491,62.233,16.782,0.15415,0.089574,0.97152,0.19528,0.073927,0.13085,1.6153008883105522
467.92,19.475,71.715,14.983,0.15757,0.093205,0.95616,0.19869,0.075921,0.13669,1.6182303735898873
456.71,19.015,71.004,15.088,0.15676,0.092313,0.97825,0.19737,0.075561,0.13488,1.635139326634736
