Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (curve),Error (g303),Error (g59),Error (g63),Error (g86),Reduced Error
448.8,0.63963,116.27,10.606,0.088572,0.23207,0.066011,0.065408,0.1266,0.054898,0.6335636620674836
446.88,0.65056,115.84,10.689,0.088531,0.23778,0.066042,0.065359,0.12657,0.054911,0.6391883077247306
444.31,0.65087,115.13,10.675,0.088475,0.24053,0.066114,0.065356,0.12666,0.054891,0.64202448762596
444.32,0.65106,114.98,10.705,0.088462,0.24244,0.066125,0.065338,0.12665,0.054899,0.6439201106371002
443.9,0.65054,115.25,10.724,0.08851,0.2429,0.066062,0.065355,0.12656,0.054899,0.6442800026373823
442.35,0.65344,115.16,10.662,0.088498,0.2429,0.066087,0.065382,0.12662,0.054872,0.6443503303911762
444.27,0.64719,117.31,10.675,0.088768,0.24433,0.065751,0.065493,0.12618,0.054877,0.6454033965974829
443.9,0.65053,116.88,10.725,0.088719,0.24467,0.065803,0.06545,0.12622,0.054892,0.6457520670033838
442.52,0.64741,116.49,10.675,0.088689,0.24457,0.065849,0.065466,0.12631,0.054868,0.6457549926848661
444.31,0.64877,114.85,10.659,0.088442,0.24441,0.066159,0.065349,0.12673,0.054887,0.6459791124141578
