Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g59),Error (g63),Error (g303),Error (curve),Error (g86),Error (g237),Reduced Error
562.78,0.45707,114.26,13.761,0.063466,0.12794,0.067517,0.22933,0.055559,0.087159,0.6309672178333042
560.38,0.47062,115.17,13.671,0.063506,0.12791,0.067528,0.23014,0.055546,0.087135,0.6317603950863636
559.58,0.46434,113.15,13.767,0.063468,0.12797,0.06751,0.23025,0.055523,0.087208,0.6319243686753196
562.67,0.46435,113.22,13.767,0.063449,0.12796,0.067511,0.23065,0.055527,0.08719,0.6322931638083907
557.1,0.47894,114.53,13.638,0.063531,0.12793,0.067532,0.23087,0.05551,0.087167,0.6325459781486574
565.76,0.45712,112.8,13.711,0.063478,0.12798,0.067544,0.23129,0.05551,0.087185,0.6329964749509049
557.08,0.47896,114.78,13.621,0.063541,0.12792,0.067537,0.23138,0.055512,0.087157,0.6330471651530587
563.12,0.46613,112.95,13.684,0.063494,0.12798,0.067541,0.23152,0.055497,0.08719,0.6332193467937317
564.58,0.45361,111.23,13.865,0.063404,0.12803,0.067482,0.23235,0.055513,0.087254,0.6340316793441334
563.16,0.45676,116.06,13.746,0.063467,0.12787,0.067505,0.2327,0.055605,0.087109,0.6342515506069604
