Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Reduced Error
1726.5,0.2522,165.06,2.4052,0.013654,0.013654437467176558
1726.5,0.2522,165.06,2.4052,0.013654,0.01365443746717658
1726.5,0.2522,165.06,2.4052,0.013654,0.01365443746717658
1726.5,0.2522,165.06,2.4052,0.013654,0.01365443746717658
1726.5,0.2522,165.06,2.4052,0.013654,0.01365443746717658
1726.5,0.2522,165.06,2.4052,0.013654,0.01365443746717658
1726.5,0.2522,165.06,2.4052,0.013654,0.01365443746717658
1726.5,0.2522,165.06,2.4052,0.013654,0.01365443746717658
1726.5,0.2522,165.06,2.4052,0.013654,0.01365443746717658
1726.5,0.2522,165.06,2.4052,0.013654,0.013654437467176584
