Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g240),Error (g262),Error (g101),Error (curve),Error (g14),Error (g72),Error (g207),Error (g287),Error (g95),Reduced Error
650.01,9.8972,276.82,285.94,333.86,1.8536,77.363,16.398,0.22548,0.13932,0.039706,0.39072,0.061595,0.22188,0.049792,0.12041,0.13991,1.3888170278028582
606.79,42.463,235.96,371.6,362.65,0.14829,90.407,19.937,0.22192,0.13628,0.046859,0.50708,0.054973,0.11402,0.054375,0.11981,0.13987,1.39518495428914
646.38,218.42,237.63,304.14,364.52,0.98689,55.436,3.669,0.21771,0.12573,0.057808,0.5117,0.053604,0.10058,0.083668,0.11146,0.14124,1.403489328248997
606.02,42.505,235.96,371.63,362.65,0.15217,91.049,19.87,0.22193,0.13624,0.046786,0.5181,0.054983,0.11425,0.054354,0.11978,0.13984,1.406275173238701
606.03,43.073,235.96,371.63,362.65,0.1486,91.064,19.933,0.22192,0.13624,0.046843,0.51866,0.054955,0.11408,0.05436,0.1198,0.13984,1.406694671577217
606.77,42.462,237.57,371.64,362.65,0.16242,91.074,19.756,0.22198,0.13629,0.046512,0.5195,0.05503,0.11519,0.054141,0.1197,0.13979,1.4081383900955537
604.24,42.492,237.85,372.29,364.01,0.15927,91.064,19.76,0.22195,0.13624,0.046585,0.52071,0.054951,0.1148,0.054205,0.11973,0.13981,1.4089712874045448
606.94,43.075,237.64,371.63,362.66,0.14842,91.248,19.908,0.22192,0.13621,0.046863,0.5222,0.054952,0.11404,0.054364,0.11981,0.13984,1.4101846748826579
649.77,9.3106,237.72,286.98,364.85,1.9007,77.973,16.689,0.22495,0.13906,0.041827,0.43943,0.060921,0.19266,0.052149,0.12091,0.14035,1.4122507905940969
600.4,42.397,237.81,377.15,364.57,0.14647,87.506,19.963,0.22188,0.13648,0.046559,0.52665,0.054789,0.11443,0.054154,0.1197,0.13991,1.4145523425991635
