Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g303),Error (curve),Error (g86),Error (g63),Error (g59),Reduced Error
737.96,0.36617,108.38,19.993,0.08285,0.072236,0.20518,0.055518,0.12991,0.062351,0.6080438744436785
712.87,0.37704,109.52,19.994,0.083056,0.071998,0.20552,0.055543,0.12988,0.062312,0.6083115805998013
712.87,0.37704,109.52,19.983,0.083053,0.072,0.20595,0.05554,0.12987,0.062316,0.6087287425354349
712.88,0.37808,108.95,19.99,0.08298,0.072099,0.20661,0.055534,0.12991,0.062299,0.6094333684024502
709.71,0.37981,108.61,19.935,0.082926,0.07216,0.20988,0.055513,0.12988,0.062303,0.6126605096768659
703.83,0.38014,109.51,19.949,0.083065,0.071989,0.21049,0.055526,0.12984,0.062316,0.6132316634899844
713.61,0.3775,110.07,19.968,0.08311,0.071907,0.21629,0.055549,0.12982,0.062321,0.6190008600498158
711.19,0.37134,110.54,19.994,0.083203,0.071808,0.21716,0.055536,0.12976,0.062382,0.6198431697090961
707.37,0.37968,108.45,19.966,0.082925,0.07218,0.21745,0.055514,0.12992,0.062299,0.6202860646996584
716.13,0.3801,107.3,19.995,0.08275,0.072401,0.21756,0.055515,0.13002,0.06226,0.6205037846454909
