Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g223),Error (g39),Error (g138),Error (g164),Error (g238),Error (g185),Error (g243),Error (g50),Reduced Error
528.03,8.3986,461.33,19.497,1.1423,0.20269,0.097375,0.1266,0.13398,0.16433,0.063892,0.06825,0.16859,2.167971252136987
529.75,8.3704,461.48,19.498,1.1439,0.20268,0.097382,0.12662,0.13397,0.16434,0.063872,0.06827,0.16863,2.1696807045794597
528.11,8.5288,465.28,19.53,1.1455,0.20263,0.09741,0.12631,0.13402,0.16401,0.064009,0.068198,0.16805,2.1701778059509294
530.5,8.3403,461.55,19.466,1.1466,0.20269,0.097374,0.12665,0.134,0.16436,0.063882,0.068261,0.16873,2.172550543358051
528.61,8.3539,461.55,19.384,1.1475,0.20273,0.097336,0.12662,0.13411,0.16434,0.063973,0.068183,0.16885,2.173642353994072
530.65,8.5716,461.38,19.819,1.1495,0.20262,0.097496,0.12644,0.13367,0.1642,0.063702,0.068442,0.16794,2.1740278719903197
526.56,8.429,461.46,19.381,1.15,0.20275,0.09732,0.12652,0.13415,0.16429,0.064031,0.068142,0.16882,2.1759831149441644
527.93,8.2881,462.58,19.395,1.1511,0.20265,0.09736,0.1267,0.13403,0.16435,0.063932,0.068203,0.1686,2.1769546117128677
528.2,8.4698,461.35,19.494,1.152,0.20273,0.097363,0.12648,0.13403,0.16427,0.063943,0.068224,0.16864,2.1776409998910258
531.59,8.3134,463.55,19.381,1.1524,0.20267,0.097361,0.12659,0.13411,0.16425,0.063972,0.0682,0.16871,2.178305694713827
