Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Param (cp_gamma_0),Error (g63),Error (g303),Error (g237),Error (g86),Error (g59),Error (curve),Reduced Error
1391.4,0.52126,116.35,7.0899,8.9296e-05,0.13634,0.057546,0.10364,0.05694,0.065894,0.32317,0.7435221305681116
534.09,0.5399,124.04,14.646,8.4956e-05,0.12896,0.066917,0.087749,0.05539,0.063676,0.34113,0.7438202010082742
1455.8,0.50537,116.24,7.0269,8.8859e-05,0.13679,0.057325,0.10428,0.057155,0.06595,0.32775,0.7492606146532059
1451.1,0.51092,116.3,6.9694,8.8842e-05,0.13683,0.057247,0.10445,0.057155,0.066,0.32959,0.7512761456384991
1451.1,0.51341,116.41,6.9432,8.9082e-05,0.13688,0.057203,0.10456,0.057169,0.066021,0.33081,0.7526449431495377
511.47,0.95242,112.23,6.9939,8.8805e-05,0.12782,0.060423,0.0957,0.054057,0.067195,0.34899,0.7541869005938995
501.83,0.95643,115.18,6.9283,8.9056e-05,0.12772,0.060243,0.095919,0.054062,0.067279,0.35083,0.7560552392877276
511.51,0.94737,111.71,7.0106,8.869e-05,0.12783,0.060452,0.095671,0.054058,0.067182,0.35124,0.7564323115553871
502.89,0.95268,112.43,7.0722,8.8936e-05,0.12755,0.060602,0.095381,0.054022,0.067233,0.35232,0.7571122848609146
511.36,0.96393,109.96,6.9838,8.8767e-05,0.12786,0.060453,0.09565,0.054027,0.067191,0.35346,0.7586327083449227
