Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g72),Error (g56),Error (g237),Error (curve),Error (g223),Error (g126),Error (g80),Error (g262),Error (g51),Reduced Error
1536.8,0.16912,124.82,5.2426,0.10987,0.048339,0.099693,0.31379,0.13606,0.03129,0.25418,0.11424,0.13469,1.2421540594265956
1534.5,0.16989,124.64,5.24,0.10987,0.048405,0.099694,0.31467,0.13606,0.031285,0.25417,0.11424,0.13472,1.2431175324774153
1537.3,0.16917,125.0,5.2394,0.10986,0.048375,0.09973,0.31501,0.13608,0.031312,0.25415,0.11423,0.13471,1.2434625333859597
1542.6,0.17021,124.17,5.1931,0.10974,0.049123,0.099999,0.31459,0.13621,0.031419,0.25396,0.1142,0.13509,1.2443343232202269
1537.6,0.16909,124.88,5.2506,0.10994,0.048236,0.099639,0.31628,0.13604,0.031265,0.25421,0.11425,0.13462,1.244487325147639
1523.2,0.17098,124.71,5.2254,0.10984,0.0486,0.099808,0.3188,0.13614,0.031339,0.2541,0.11423,0.13481,1.247664189834691
1537.7,0.16918,124.32,5.1902,0.10975,0.049105,0.10004,0.31883,0.13625,0.031445,0.25394,0.11419,0.13509,1.2486493671667835
1522.8,0.17099,124.68,5.2156,0.10982,0.048735,0.099878,0.31961,0.13618,0.03137,0.25405,0.11422,0.13488,1.248739104206867
1524.6,0.1724,123.91,5.2346,0.10986,0.048584,0.099661,0.32068,0.13604,0.031249,0.25418,0.11427,0.13478,1.2492920482432983
1522.9,0.17115,123.72,5.2424,0.10993,0.04846,0.099599,0.32264,0.13603,0.031217,0.25423,0.11428,0.1347,1.2510870767564537
