Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g72),Error (g207),Error (g101),Error (g287),Error (curve),Error (g95),Error (g240),Error (g14),Reduced Error
1998.4,0.17386,144.33,6.1874,0.13053,0.10107,0.059097,0.032986,0.11073,0.19723,0.13389,0.21849,0.047674,1.0316930035769967
1998.4,0.17382,144.37,6.1593,0.13046,0.10101,0.059246,0.033086,0.11074,0.19727,0.13388,0.2185,0.047648,1.031840888063059
2000.0,0.17397,144.38,6.1716,0.1305,0.10103,0.059184,0.033046,0.11074,0.19743,0.13389,0.21849,0.047654,1.031959889564016
1998.2,0.17388,144.27,6.1628,0.13048,0.10101,0.059227,0.033075,0.11074,0.19747,0.13389,0.2185,0.047647,1.0320259491811077
1997.5,0.17396,144.27,6.1635,0.13048,0.10102,0.059224,0.033073,0.11074,0.19757,0.13389,0.2185,0.047646,1.0321314205793988
2000.0,0.17401,144.38,6.1701,0.13049,0.10103,0.059193,0.033052,0.11074,0.1977,0.13389,0.21849,0.047651,1.032233770022519
1998.5,0.17367,144.37,6.1892,0.13053,0.10107,0.059085,0.032976,0.11073,0.19781,0.13388,0.21849,0.047684,1.032268433368281
1998.4,0.17379,144.38,6.1356,0.1304,0.10096,0.059371,0.033173,0.11076,0.19767,0.13388,0.2185,0.047624,1.0323355945830404
1998.3,0.17365,144.42,6.1715,0.13049,0.10103,0.059181,0.033038,0.11074,0.19783,0.13388,0.2185,0.047668,1.0323596960431398
1998.5,0.17381,144.19,6.1812,0.13052,0.10105,0.059127,0.033006,0.11073,0.19797,0.13389,0.21849,0.047666,1.0324598789097095
