Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (g63),Error (g303),Error (g237),Error (curve),Error (g59),Reduced Error
916.45,0.32975,109.93,5.2586,0.054536,0.13261,0.057473,0.10043,0.27438,0.068722,0.6881521814627755
936.48,0.29302,114.08,5.952,0.054353,0.13028,0.05869,0.097746,0.28121,0.068209,0.6904886590352166
900.85,0.3345,109.42,5.2521,0.054524,0.1326,0.057474,0.10042,0.27855,0.068741,0.69231493435018
880.16,0.3445,109.35,5.3245,0.054481,0.13231,0.057617,0.10011,0.28267,0.068689,0.6958687237370238
912.38,0.33006,111.5,5.2821,0.054541,0.13247,0.057488,0.10039,0.29294,0.068722,0.7065460003352709
870.55,0.33731,108.75,5.6617,0.05435,0.13121,0.058294,0.098656,0.29573,0.068412,0.706646268930385
884.35,0.3464,110.08,5.2898,0.054517,0.13243,0.057536,0.10029,0.29935,0.068709,0.7128235223571087
889.59,0.34626,109.85,5.0392,0.054666,0.1333,0.057073,0.10135,0.30294,0.06887,0.7181933449585965
887.15,0.34601,110.12,4.9292,0.054751,0.13365,0.056734,0.10208,0.30812,0.068998,0.7243351380590475
857.5,0.34265,113.35,5.2483,0.054552,0.13231,0.057404,0.10055,0.31364,0.06884,0.7272926766789345
