Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g95),Error (g287),Error (curve),Error (g240),Error (g207),Error (g101),Error (g72),Error (g14),Error (g262),Reduced Error
311.79,88.251,74.716,12.302,0.13235,0.11157,0.403,0.22417,0.037266,0.032764,0.11061,0.051262,0.14285,1.2458271955181153
313.23,78.079,75.408,12.107,0.1324,0.11128,0.40447,0.22412,0.036995,0.033005,0.11012,0.051062,0.14282,1.2462663175016426
313.28,76.436,75.477,12.133,0.13242,0.11128,0.40476,0.22416,0.036895,0.033081,0.1101,0.05107,0.14287,1.246641228225863
312.57,76.418,75.783,11.999,0.13241,0.11119,0.40626,0.22404,0.037006,0.032983,0.10992,0.051015,0.14269,1.2475045211687874
312.38,75.994,75.774,11.999,0.13241,0.11119,0.40666,0.22404,0.036991,0.032995,0.10991,0.051015,0.14269,1.247898568961756
312.57,75.186,75.712,12.001,0.13242,0.11118,0.40672,0.22406,0.036958,0.033046,0.1099,0.051006,0.14272,1.2480077456056495
312.59,76.905,75.858,11.989,0.13241,0.11119,0.4069,0.22402,0.037031,0.032951,0.10991,0.051016,0.14267,1.2480937793319602
312.54,74.397,75.744,12.085,0.13244,0.11123,0.40665,0.22415,0.036842,0.033099,0.10997,0.051054,0.1428,1.2482338950732605
312.45,74.836,75.725,12.034,0.13243,0.1112,0.40688,0.2241,0.036912,0.033065,0.10992,0.051026,0.14274,1.2482758352624808
314.06,74.775,75.754,11.925,0.13243,0.11109,0.40728,0.224,0.037002,0.033097,0.10982,0.050936,0.14274,1.2483929341166462
