Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g95),Error (g14),Error (g262),Error (g287),Error (g72),Error (g101),Error (g240),Error (g207),Reduced Error
0.0026795,3.685e-08,808.95,474.33,179.11,773.41,52.763,5.5048,0.39769,0.14809,0.058503,0.13137,0.11139,0.093649,0.044327,0.22375,0.050596,1.259369188603204
0.024164,1.349e-05,824.58,492.34,176.03,774.21,82.222,2.744,0.375,0.13628,0.040927,0.11682,0.11559,0.09562,0.069185,0.22879,0.087334,1.265545195720476
0.024198,1.3711e-05,824.71,492.37,176.17,774.32,82.224,2.7553,0.38087,0.13627,0.040965,0.11684,0.11554,0.095599,0.068906,0.22874,0.087147,1.27088161155643
0.023731,1.3533e-05,824.56,482.4,179.78,773.02,82.094,2.7528,0.38326,0.13622,0.041014,0.11684,0.11555,0.09554,0.068763,0.2287,0.086996,1.272875951203944
42.246,1.3696e-05,814.58,489.22,172.93,893.21,87.253,3.9237,0.426,0.13537,0.04532,0.1203,0.11444,0.092982,0.050319,0.22334,0.075972,1.2840356820264092
0.28748,9.9516e-07,805.42,492.76,173.28,795.89,81.448,3.7424,0.42891,0.1365,0.046303,0.12029,0.11313,0.095108,0.049185,0.22495,0.07324,1.2876120460127
0.02393,4.5828e-07,807.28,492.62,175.69,774.19,85.62,3.1814,0.4271,0.13624,0.043359,0.1176,0.11368,0.094344,0.056899,0.22686,0.078144,1.2942188318236796
0.023678,1.2976e-05,727.3,489.25,178.97,773.46,77.867,2.9224,0.41863,0.13569,0.041951,0.11789,0.11486,0.094864,0.063878,0.2272,0.085091,1.3000514911272505
0.023905,4.4565e-06,830.05,492.39,181.76,774.2,82.151,2.7348,0.41241,0.13642,0.04086,0.11666,0.11552,0.095268,0.069167,0.22886,0.086946,1.3021088599942048
0.023724,4.5537e-07,814.18,488.84,176.07,792.81,85.657,3.1631,0.43576,0.1362,0.043338,0.11758,0.11381,0.094559,0.057374,0.22701,0.078562,1.3041929365800584
