Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g262),Error (curve),Error (g126),Error (g80),Error (g51),Error (g223),Error (g72),Error (g56),Reduced Error
1320.8,0.53226,157.82,1.6754,0.1844,0.11813,0.57422,0.16689,0.25485,0.18213,0.27806,0.10654,0.12397,1.9891921984617922
1286.6,0.57952,157.61,1.6604,0.18476,0.11832,0.5954,0.16723,0.25477,0.18249,0.25749,0.10677,0.12409,1.991326440091104
1285.4,0.54499,162.26,1.6699,0.18454,0.11826,0.58717,0.16711,0.25493,0.18233,0.30437,0.10574,0.12403,2.0284765545205006
1280.8,0.54722,158.99,1.6927,0.18403,0.11792,0.5524,0.16666,0.25497,0.1817,0.36124,0.10545,0.12385,2.048228314314017
1310.5,0.54684,158.99,1.6908,0.18408,0.11793,0.60359,0.16664,0.2549,0.18175,0.3335,0.10587,0.12387,2.072123200575393
1296.5,0.53489,159.94,1.662,0.18469,0.11836,0.6733,0.16721,0.25489,0.18251,0.26826,0.10642,0.12408,2.0797228390286877
1258.8,0.57519,158.22,1.6941,0.18401,0.11789,0.58936,0.16667,0.25495,0.18165,0.37489,0.10527,0.12384,2.098514673377071
1284.7,0.53891,153.41,1.7019,0.18382,0.11775,0.63114,0.16643,0.25494,0.18138,0.34588,0.10598,0.12376,2.1110752216689077
1248.0,0.57155,158.72,1.6998,0.18386,0.11783,0.57647,0.16659,0.25502,0.1815,0.41695,0.10498,0.1238,2.126998401943281
1282.4,0.54452,159.06,1.7092,0.18362,0.11772,0.56063,0.16634,0.25504,0.18127,0.43941,0.10523,0.12374,2.132998127318746
