Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g51),Error (g56),Error (g80),Error (curve),Error (g223),Error (g237),Error (g72),Error (g262),Error (g126),Reduced Error
76.454,190.93,63.836,14.728,0.14358,0.08824,0.28873,0.2878,0.15792,0.088422,0.068353,0.148,0.030034,1.301081351893621
75.81,193.04,64.406,14.167,0.14359,0.086984,0.2881,0.29207,0.15838,0.089246,0.065254,0.14788,0.029655,1.3011607040945832
171.09,586.6,64.136,14.59,0.1253,0.030209,0.27136,0.40037,0.13185,0.096989,0.09833,0.12165,0.025254,1.3013135431700718
170.99,583.84,64.167,14.217,0.12546,0.029758,0.27114,0.39964,0.13206,0.097284,0.099908,0.12162,0.025388,1.302253028199245
170.8,582.98,64.167,14.213,0.12548,0.029817,0.27116,0.39995,0.13207,0.097266,0.099951,0.12165,0.025375,1.3027283868771375
75.343,187.8,63.506,14.82,0.14391,0.088988,0.28902,0.28459,0.15854,0.088362,0.070878,0.14844,0.030162,1.3028841900607777
75.519,187.8,63.502,14.821,0.14387,0.088968,0.28901,0.28544,0.15842,0.088331,0.070595,0.14839,0.030174,1.3032096875315573
75.566,187.8,63.502,14.816,0.14386,0.088955,0.28901,0.28566,0.15839,0.088328,0.070471,0.14838,0.030176,1.3032262093331508
75.575,187.79,63.502,14.814,0.14386,0.088952,0.28901,0.2857,0.15838,0.088328,0.070439,0.14837,0.030177,1.3032269816559223
75.551,187.79,63.385,14.836,0.14385,0.08894,0.28902,0.28629,0.1584,0.08833,0.070524,0.14838,0.030175,1.3039191416921996
