Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g56),Error (g126),Error (g223),Error (g237),Error (g80),Error (g72),Error (g51),Error (g262),Reduced Error
1519.5,0.13573,98.331,3.4208,0.7128,0.089717,0.052636,0.14683,0.12802,0.24108,0.081063,0.15497,0.11329,1.720411151577604
1524.5,0.13638,98.219,3.4228,0.71851,0.089734,0.05264,0.14681,0.12804,0.24107,0.080979,0.15498,0.11328,1.7260537278130599
1517.0,0.13405,101.51,3.3802,0.72646,0.090095,0.05313,0.14704,0.12839,0.24094,0.082606,0.1552,0.11328,1.737142111321663
1539.3,0.13686,97.725,3.3221,0.72961,0.091038,0.053841,0.14735,0.12936,0.24054,0.085812,0.15585,0.1132,1.7466019384792475
1540.0,0.13576,98.512,3.3152,0.73171,0.091107,0.053943,0.14739,0.12941,0.24053,0.086157,0.15588,0.1132,1.7493284421717015
1463.6,0.13789,102.87,3.3769,0.74401,0.089607,0.052794,0.14702,0.12813,0.24104,0.082883,0.15496,0.11333,1.753770502096467
1510.4,0.13354,104.76,3.3416,0.74372,0.09041,0.053568,0.14724,0.12873,0.24079,0.084339,0.1554,0.11328,1.7574681628096098
1484.0,0.13495,98.455,3.4908,0.76367,0.088606,0.051636,0.14647,0.12695,0.24154,0.079027,0.15429,0.11338,1.76556829460181
1513.9,0.13573,105.8,3.3078,0.74886,0.09079,0.053967,0.1474,0.12918,0.24059,0.086313,0.15567,0.11324,1.7660101098178924
1539.7,0.12628,105.79,3.3108,0.75469,0.091045,0.054186,0.14747,0.12912,0.24068,0.085938,0.15571,0.11325,1.7720855981759236
