Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g138),Error (g185),Error (g39),Error (g238),Error (g223),Error (g164),Error (curve),Error (g50),Error (g243),Reduced Error
2260.2,4.4898,451.67,2.4289,0.1284,0.071154,0.11019,0.16577,1.5849,0.13731,1.0481,0.15758,0.06058,3.4639057519437615
2343.4,4.5408,460.97,2.4132,0.12977,0.070529,0.11073,0.16574,1.6213,0.13614,1.0942,0.15408,0.060926,3.5434097403126086
2347.2,4.5326,460.21,2.4193,0.12967,0.070557,0.11065,0.16582,1.6305,0.13622,1.0871,0.15461,0.060921,3.5460805555777384
2343.0,4.5444,459.9,2.4314,0.12929,0.070682,0.11058,0.16573,1.5955,0.13638,1.1222,0.15488,0.060877,3.5461196658999765
2346.4,4.5332,458.72,2.4157,0.12967,0.070484,0.11058,0.16583,1.6419,0.13629,1.1454,0.15501,0.060908,3.6160394097870694
2343.2,4.5862,460.53,2.4279,0.12927,0.070576,0.11063,0.16545,1.6217,0.13635,1.2067,0.15406,0.060858,3.6556047595235097
2375.1,4.5238,463.08,2.4144,0.13032,0.070364,0.11081,0.16593,1.7069,0.13583,1.1892,0.15385,0.061061,3.7242072342814145
2359.4,4.5564,460.44,2.4083,0.12999,0.070319,0.1107,0.16573,1.628,0.13607,1.274,0.15411,0.060958,3.7298450530380496
2213.7,4.4963,454.09,2.4371,0.12793,0.07162,0.1104,0.16539,1.6273,0.13743,1.2816,0.15607,0.060461,3.738165739937578
2379.9,4.5874,463.39,2.4419,0.12947,0.070503,0.11067,0.16556,1.6714,0.1361,1.2512,0.15384,0.060978,3.749737416716373
