Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (curve),Error (g63),Error (g303),Error (g237),Error (g59),Reduced Error
690.1,0.36348,123.35,19.975,0.055613,0.18164,0.12938,0.070012,0.084776,0.062232,0.5836527442416622
690.1,0.36348,123.35,19.953,0.055614,0.18176,0.12938,0.070006,0.084782,0.062233,0.5837746900457411
690.62,0.3632,124.21,19.953,0.055624,0.18292,0.12933,0.069929,0.084834,0.062221,0.584849470195785
712.73,0.35757,121.72,19.96,0.055621,0.18432,0.12946,0.070269,0.084568,0.062205,0.5864407069694719
690.32,0.36346,124.37,19.953,0.055626,0.18537,0.12932,0.069914,0.084843,0.062219,0.5872865688846419
691.34,0.36953,122.22,19.994,0.055615,0.18643,0.12953,0.070185,0.084641,0.06221,0.5886095489375057
691.65,0.36944,122.2,19.995,0.055616,0.18657,0.12953,0.070189,0.084638,0.06221,0.588756104020969
706.51,0.35157,123.19,19.953,0.055614,0.18777,0.1293,0.070037,0.084757,0.062236,0.5897091012414395
690.08,0.35754,124.46,19.951,0.055611,0.18878,0.12925,0.069845,0.084907,0.062249,0.5906395053407982
684.02,0.36744,122.87,19.952,0.055603,0.18922,0.12939,0.070027,0.084762,0.062242,0.5912514048883777
