Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g126),Error (g237),Error (g56),Error (curve),Error (g80),Error (g262),Error (g72),Error (g223),Error (g51),Reduced Error
230.25,188.99,64.283,8.2484,0.028971,0.089902,0.023391,0.39634,0.26222,0.11489,0.44222,0.12666,0.12238,1.6069651561222738
266.11,10.24,83.239,3.4577,0.066686,0.12612,0.089213,0.62058,0.23891,0.10767,0.097335,0.15098,0.14778,1.6452682745677647
493.07,0.16692,65.556,1.6034,0.12315,0.15807,0.1424,0.50332,0.22479,0.10496,0.11431,0.17245,0.18354,1.726985051971044
225.7,202.14,64.528,8.2164,0.028666,0.089767,0.023201,0.3965,0.2626,0.11527,0.5992,0.12682,0.12277,1.764795746711968
496.88,0.10261,65.673,1.7882,0.12416,0.15744,0.14257,0.55144,0.22474,0.10467,0.10563,0.17306,0.18348,1.7672081514409967
345.9,208.08,57.016,7.0136,0.033444,0.097249,0.038206,0.45059,0.25765,0.11173,0.52641,0.13056,0.12347,1.7693139163302298
358.15,529.75,53.159,1.7375,0.10914,0.17966,0.11447,0.57197,0.2291,0.12209,0.10195,0.16411,0.18796,1.780463524715645
530.95,0.072984,60.819,1.4259,0.12954,0.16031,0.14963,0.51124,0.22404,0.10572,0.13808,0.17505,0.1896,1.7832111887550441
526.9,0.087327,67.036,1.8172,0.12474,0.15739,0.14272,0.56741,0.22476,0.10472,0.10559,0.17322,0.18368,1.784222593153374
311.93,429.84,56.479,1.7105,0.10796,0.17836,0.11629,0.58121,0.22922,0.12284,0.098866,0.16366,0.18762,1.7860253403607884
