Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (curve),Error (g63),Error (g303),Error (g237),Error (g59),Reduced Error
610.96,0.46641,115.96,19.833,0.055725,0.25845,0.12997,0.069674,0.085579,0.061004,0.6604022998360716
619.71,0.45554,114.71,19.834,0.055761,0.26104,0.13026,0.069869,0.085478,0.060966,0.6633687660157824
613.05,0.45938,115.95,19.919,0.055767,0.26132,0.13013,0.069679,0.085608,0.060966,0.6634786074724771
622.9,0.46388,112.6,19.577,0.055679,0.26147,0.13016,0.070137,0.085251,0.06103,0.6637287435362058
621.74,0.4554,115.81,19.641,0.055722,0.26475,0.13001,0.069823,0.085469,0.061022,0.6668004223758703
618.58,0.45452,116.37,19.576,0.055702,0.26543,0.12987,0.069736,0.085526,0.06106,0.6673212842058301
600.81,0.47416,117.18,19.768,0.05567,0.26811,0.12962,0.069459,0.085702,0.061078,0.6696351192209864
612.82,0.46293,116.78,19.845,0.055739,0.26778,0.12997,0.069626,0.08561,0.060994,0.6697185240643596
602.99,0.47338,115.4,19.988,0.055736,0.27005,0.13002,0.069612,0.085645,0.060984,0.6720437668715146
613.31,0.46635,113.67,18.041,0.055328,0.27263,0.12833,0.069963,0.085223,0.061646,0.673112971403168
