Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g63),Error (curve),Error (g86),Error (g237),Error (g303),Error (g59),Reduced Error
1992.5,0.21185,98.03,19.013,0.12405,0.46292,0.056098,0.088678,0.065494,0.061386,0.858630351693172
1992.1,0.21188,97.71,18.868,0.12409,0.46328,0.056093,0.088588,0.065557,0.06139,0.8589970792710176
1991.8,0.21423,98.186,18.97,0.12404,0.46353,0.056111,0.088679,0.065466,0.061363,0.8591861623573169
1986.9,0.21225,98.668,19.008,0.12374,0.46565,0.056066,0.088773,0.065374,0.06148,0.8610834293869266
1994.4,0.21414,98.739,19.007,0.12391,0.46599,0.056114,0.088787,0.065363,0.061394,0.8615549584218222
1986.5,0.21343,97.204,18.868,0.12421,0.4664,0.056094,0.088481,0.065652,0.061344,0.8621796263716276
1990.1,0.21078,97.753,18.87,0.12401,0.46666,0.056074,0.088599,0.065549,0.061432,0.8623209967603173
1992.4,0.21306,97.074,19.014,0.12442,0.46641,0.056128,0.088506,0.065675,0.061268,0.8624103663437923
1986.7,0.21359,96.995,18.969,0.12434,0.46766,0.056107,0.088468,0.06569,0.061296,0.8635625194146399
1986.0,0.21117,98.123,19.007,0.12388,0.46817,0.056062,0.088684,0.065475,0.061455,0.8637282757160823
