Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g240),Error (g262),Error (g101),Error (curve),Error (g14),Error (g72),Error (g207),Error (g287),Error (g95),Reduced Error
899.12,30.849,232.44,130.77,525.3,5.1111,54.744,4.11,0.21662,0.12194,0.069735,0.34313,0.048967,0.10362,0.089691,0.11937,0.14151,1.2545823618160774
899.11,30.796,232.44,130.24,525.63,5.0882,54.596,4.1303,0.21663,0.12199,0.069631,0.34419,0.048993,0.10361,0.089579,0.11937,0.14151,1.255509400664175
899.18,30.631,232.45,130.63,509.87,5.0408,53.601,4.0221,0.2166,0.1219,0.069992,0.34904,0.04895,0.10389,0.090073,0.11915,0.1414,1.260999673020117
899.0,31.698,232.44,143.18,525.69,5.0727,54.321,4.1197,0.21665,0.12202,0.069331,0.35604,0.048984,0.10141,0.089546,0.11926,0.14161,1.264853121685146
899.11,31.134,232.43,131.29,510.13,4.8112,55.677,4.204,0.21675,0.12231,0.068627,0.35706,0.049276,0.10181,0.088762,0.11896,0.14135,1.264920659672591
899.09,30.572,232.44,143.73,525.77,5.0666,55.02,4.1296,0.21663,0.122,0.069334,0.36747,0.048982,0.10132,0.089421,0.11928,0.14158,1.2760231611107538
899.03,30.709,232.44,142.41,524.98,5.1569,54.954,4.0762,0.2166,0.12188,0.069693,0.37024,0.048909,0.10189,0.089781,0.11931,0.14156,1.2798590754412753
543.18,31.345,229.06,304.48,448.89,5.1587,64.107,4.1481,0.2189,0.12422,0.056237,0.39315,0.052242,0.099994,0.079701,0.11422,0.14303,1.2816861886174709
565.38,31.343,232.07,302.86,526.64,5.0932,57.303,4.0165,0.21833,0.12339,0.060128,0.39047,0.050587,0.098209,0.082331,0.11628,0.14326,1.2829820888971613
520.68,31.29,234.82,304.56,449.26,5.1099,62.64,4.0834,0.21904,0.12413,0.056081,0.39608,0.052214,0.10002,0.079405,0.11417,0.14316,1.2843083480304962
