Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g63),Error (curve),Error (g237),Error (g59),Error (g86),Reduced Error
1964.0,0.12837,126.23,5.2031,0.057774,0.13268,0.093452,0.099984,0.069079,0.054693,0.5076585980690146
1965.4,0.12837,126.2,5.0431,0.057239,0.13308,0.097002,0.10116,0.069207,0.05477,0.512457634246077
1944.5,0.13048,126.14,5.1486,0.0576,0.13281,0.098662,0.10036,0.069116,0.054712,0.5132627916284971
1958.9,0.12761,126.83,5.251,0.057924,0.13251,0.10097,0.099659,0.069067,0.054683,0.5148139383195715
1961.8,0.12916,126.66,4.9522,0.056899,0.13333,0.10481,0.10195,0.069287,0.054833,0.5211091503044345
1965.4,0.12804,127.96,5.0287,0.057167,0.13305,0.10564,0.10131,0.069251,0.054783,0.5211944407925264
1964.5,0.12945,124.61,5.3649,0.05832,0.1324,0.11082,0.098898,0.068929,0.054636,0.5240018734922774
1964.6,0.12978,125.69,5.4356,0.058553,0.13221,0.11418,0.098444,0.068902,0.054617,0.526903670574788
1965.8,0.12993,124.64,5.3419,0.058243,0.13246,0.11396,0.099047,0.068936,0.054639,0.5272851749318991
1965.2,0.12722,125.81,5.3328,0.058198,0.13237,0.11659,0.099113,0.068995,0.054656,0.5299289081516697
