Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g237),Error (g72),Error (g56),Error (g126),Error (g51),Error (g223),Error (g80),Error (curve),Reduced Error
1879.0,0.13794,125.73,4.1577,0.11299,0.11047,0.10811,0.06736,0.037514,0.14341,0.14183,0.24778,0.30916,1.2786126903824013
1880.2,0.13729,126.2,4.1062,0.11296,0.11118,0.10818,0.068329,0.037994,0.14391,0.14222,0.24741,0.31279,1.2849750501992254
1884.0,0.1406,125.86,4.1442,0.11295,0.11067,0.10811,0.067775,0.037643,0.14355,0.14194,0.24766,0.31522,1.2855178283993813
1888.0,0.13693,125.97,4.1396,0.11297,0.11075,0.10812,0.067717,0.037721,0.14359,0.14198,0.24764,0.31636,1.286839219894115
1943.4,0.13536,127.44,4.1473,0.11289,0.11085,0.10796,0.067792,0.037935,0.14353,0.14201,0.24758,0.31707,1.2876304570998676
1880.1,0.13768,125.63,4.175,0.113,0.11024,0.10804,0.066999,0.037374,0.14324,0.1417,0.2479,0.3203,1.288786574185691
1880.8,0.13686,126.2,4.1057,0.11296,0.11119,0.10818,0.068324,0.038004,0.14391,0.14223,0.24741,0.31786,1.2900712587385743
1877.9,0.13759,126.18,4.0766,0.11294,0.11157,0.10816,0.068919,0.038241,0.1442,0.14244,0.24721,0.3175,1.291184129809524
1881.9,0.13993,125.62,4.0998,0.11293,0.11125,0.10816,0.068597,0.038011,0.14398,0.14227,0.24736,0.31922,1.2917888598867728
1880.1,0.13859,126.64,4.1056,0.11295,0.11121,0.10817,0.068387,0.038011,0.14392,0.14223,0.24739,0.323,1.2952614014186696
