Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Reduced Error
955.63,0.47881,160.26,2.6128,0.016913,0.016913477768260243
955.63,0.47881,160.26,2.6128,0.016913,0.01691347776826031
955.63,0.47881,160.26,2.6128,0.016913,0.016913477768260323
955.63,0.47881,160.26,2.6128,0.016913,0.016913477768260334
955.63,0.47881,160.26,2.6128,0.016913,0.016913477768260337
955.63,0.47881,160.26,2.6128,0.016913,0.01691347776826034
955.63,0.47881,160.26,2.6128,0.016913,0.01691347776826034
955.63,0.47881,160.26,2.6128,0.016913,0.016913477768260344
955.63,0.47881,160.26,2.6128,0.016913,0.016913477768260347
955.63,0.47881,160.26,2.6128,0.016913,0.016913477768260358
