Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g223),Error (g39),Error (g138),Error (g164),Error (g238),Error (g185),Error (g243),Error (g50),Reduced Error
1791.2,0.24961,499.52,17.302,0.77655,0.20826,0.10999,0.169,0.11553,0.18091,0.060934,0.069967,0.13654,1.8276960304981311
1767.0,0.24959,499.5,17.2,0.77702,0.20823,0.10988,0.16935,0.11564,0.18086,0.060796,0.069892,0.13697,1.8286483215301916
1710.8,0.24948,499.64,16.93,0.77863,0.20831,0.10959,0.17017,0.11594,0.18069,0.060431,0.069662,0.13793,1.8313576365117166
1755.6,0.25167,499.86,17.216,0.79053,0.20821,0.1099,0.16953,0.11555,0.181,0.060803,0.069936,0.13709,1.8425541677198685
1771.6,0.24692,499.87,17.272,0.79459,0.20829,0.10991,0.16905,0.11575,0.18063,0.060799,0.069834,0.13652,1.8453841140192122
1762.9,0.24669,499.48,17.338,0.79663,0.20833,0.10996,0.16901,0.11573,0.18065,0.060811,0.06986,0.13645,1.8474203133456268
1736.8,0.25054,493.43,17.021,0.79424,0.20823,0.10975,0.17005,0.11561,0.18127,0.060694,0.070019,0.13853,1.848398799184033
1727.8,0.24948,494.62,17.029,0.79626,0.20827,0.10973,0.17003,0.11572,0.18109,0.06063,0.069932,0.1383,1.8499539313973243
1763.8,0.24915,499.64,17.095,0.8013,0.20821,0.10979,0.16952,0.11574,0.18078,0.060712,0.06982,0.1372,1.8530826445758295
1741.5,0.25157,493.44,17.143,0.80072,0.20821,0.10987,0.16987,0.11547,0.18139,0.060805,0.070114,0.13825,1.8547050309798532
