Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g72),Error (g207),Error (g101),Error (g287),Error (curve),Error (g95),Error (g240),Error (g14),Reduced Error
294.22,3.1998,31.882,1.0147,0.11912,0.11839,0.10628,0.096875,0.11659,1.6402,0.14174,0.22632,0.046305,2.6118729613261964
294.29,3.8599,25.402,1.033,0.11996,0.1307,0.10774,0.099027,0.11679,1.6898,0.14215,0.22661,0.046983,2.6798007183923174
189.61,6.8132,14.367,1.0085,0.12449,0.28863,0.11191,0.10398,0.11646,1.5747,0.14261,0.22709,0.05071,2.7406258029473753
183.26,6.8275,13.578,1.0015,0.12487,0.3038,0.11189,0.1039,0.11612,1.5641,0.1426,0.22714,0.051091,2.7454738530227916
184.35,7.0503,13.985,1.0048,0.12472,0.30282,0.11221,0.10432,0.11652,1.5681,0.14266,0.22711,0.050933,2.749438960687636
182.61,6.8181,13.739,1.0016,0.12484,0.3033,0.11182,0.10382,0.1161,1.5692,0.14258,0.22713,0.051066,2.749868499878313
185.71,6.7665,13.063,1.006,0.12496,0.30143,0.11183,0.10382,0.11597,1.5719,0.14262,0.22718,0.051166,2.7508881337885875
181.27,6.8588,13.268,1.0017,0.12501,0.3097,0.11188,0.10387,0.116,1.5662,0.1426,0.22715,0.051227,2.7536363572421294
180.8,6.8321,13.043,1.0015,0.12509,0.31154,0.11183,0.10381,0.11589,1.5659,0.14259,0.22717,0.051304,2.755163487249596
181.13,6.8473,13.147,1.0028,0.12505,0.31032,0.11184,0.10382,0.11593,1.5674,0.14259,0.22716,0.051264,2.755349704885149
