param_type,param_name,base,out_l_bound,in_u_bound,in_l_bound,out_u_bound
input,cp_tau_s,10,0,3.2964457942063956,1.767237520615771,1
input,cp_b,10,0,1.3007258830748203,-0.8673241509070377,1
input,cp_tau_0,10,0,2.6814764165313454,-0.20899044316646978,1
input,cp_n,10,0,1.2916130169398792,0.03758584282661715,1
input,average_strain,10,0,-0.5431938214533117,-2.1400335489840763,1
output,average_stress,10,0,3.7493574950696877,2.323911808996012,1
output,g51_phi_1,10,0,-0.08333553545860281,-0.17082492608291241,1
output,g51_Phi,10,0,0.3507711830531663,0.3176664423565012,1
output,g51_phi_2,10,0,0.5098340085329618,0.47519160195204313,1
output,g56_phi_1,10,0,0.2917905063857841,0.24538927117121048,1
output,g56_Phi,10,0,0.42756724771945037,0.4141540976802072,1
output,g56_phi_2,10,0,0.6891845034328631,0.6473634068595024,1
output,g72_phi_1,10,0,0.7979942199469117,-3.015126289344467,1
output,g72_Phi,10,0,0.461648568063455,0.45733679515805414,1
output,g72_phi_2,10,0,0.3425213728989639,0.2443760940205719,1
output,g80_phi_1,10,0,0.13392194042377176,0.11112803634512404,1
output,g80_Phi,10,0,0.3223640354391094,0.30882043310995977,1
output,g80_phi_2,10,0,0.6442908451282938,0.6298273810417196,1
output,g126_phi_1,10,0,0.4347285417797577,0.39236275202585685,1
output,g126_Phi,10,0,0.38824333689559587,0.3720277926574048,1
output,g126_phi_2,10,0,0.7011274233302717,0.6764649734090551,1
output,g223_phi_1,10,0,0.6774426926551983,0.6628805497388552,1
output,g223_Phi,10,0,0.4756130848415811,0.46055207286155797,1
output,g223_phi_2,10,0,-0.3510450716581867,-0.5337553644256895,1
output,g237_phi_1,10,0,0.3362995957634174,0.33160947976409283,1
output,g237_Phi,10,0,0.36030934434205864,0.33583886957995407,1
output,g237_phi_2,10,0,0.6209580407261619,0.6076801545836766,1
output,g262_phi_1,10,0,0.18321288329425114,0.13890239993359355,1
output,g262_Phi,10,0,0.3988250669622897,0.3781616095549128,1
output,g262_phi_2,10,0,0.5983636601720265,0.5847042859109842,1
