Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g190),Error (g60),Error (g278),Error (g79),Error (g237),Error (g189),Error (g178),Error (g215),Reduced Error
1662.2,0.58822,175.01,1.0235,0.18443,0.19061,0.10557,0.10715,0.08746,0.19449,0.2379,0.080218,0.03937,1.2271936897558267
1662.2,0.58189,174.37,1.0417,0.19246,0.19046,0.10556,0.10699,0.087245,0.19409,0.23778,0.079716,0.038838,1.233144980437284
1543.2,0.60259,173.59,1.0617,0.19636,0.19053,0.10567,0.10731,0.086876,0.19395,0.2374,0.079755,0.03859,1.236435354629082
1667.4,0.60671,171.7,1.0175,0.19749,0.19054,0.1056,0.10704,0.087505,0.19439,0.23794,0.080086,0.039374,1.2399645607980607
1641.2,0.5985,172.52,1.0361,0.20163,0.19048,0.1056,0.10704,0.087269,0.19413,0.23777,0.079801,0.038965,1.2426763553556757
1676.4,0.57909,174.34,1.0258,0.21085,0.19058,0.10554,0.10708,0.087424,0.19441,0.23791,0.080053,0.039234,1.253083221408553
1643.9,0.58646,173.72,1.0316,0.21574,0.19057,0.10557,0.10714,0.087318,0.19433,0.2378,0.080001,0.039134,1.2576008735902313
1665.0,0.57887,176.8,1.0423,0.21651,0.19049,0.10555,0.10704,0.087283,0.19418,0.2378,0.079872,0.038924,1.25764794332492
1670.9,0.58239,170.74,1.0458,0.219,0.19037,0.10555,0.10681,0.087144,0.19382,0.23776,0.079291,0.038533,1.2582827053721832
1660.1,0.59705,174.5,1.005,0.21442,0.19074,0.10558,0.10729,0.087662,0.19484,0.23801,0.080652,0.039876,1.2590652118098562
