Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Param (cp_gamma_0),Error (g59),Error (g237),Error (g86),Error (g63),Error (g303),Error (curve),Reduced Error
468.21,0.53796,100.03,15.913,3.5272e-06,0.062962,0.085509,0.055567,0.12873,0.069032,0.22608,0.6278825505903379
463.27,0.53856,101.64,15.913,3.5362e-06,0.062982,0.085642,0.055545,0.12858,0.06886,0.22705,0.6286501743755079
464.67,0.53947,100.39,15.869,3.5914e-06,0.06299,0.085576,0.055552,0.12867,0.068959,0.22775,0.6294954500766813
461.15,0.54043,101.11,15.999,3.5921e-06,0.062962,0.085596,0.055539,0.12861,0.068917,0.22829,0.6299163762317835
443.64,0.56105,102.15,16.0,3.5795e-06,0.062992,0.085849,0.05544,0.12827,0.068609,0.22899,0.6301524804882137
443.93,0.56071,102.0,15.988,3.6031e-06,0.062995,0.085845,0.055442,0.12829,0.06862,0.22912,0.6303101685372094
443.02,0.56117,102.16,15.998,3.6445e-06,0.062997,0.085858,0.055438,0.12827,0.068607,0.22974,0.630914521404522
459.73,0.54113,101.74,15.907,3.4288e-06,0.062991,0.085679,0.055527,0.1285,0.068802,0.22955,0.6310495008949313
444.08,0.56136,102.28,16.0,3.5787e-06,0.062988,0.085857,0.05544,0.12827,0.068598,0.22997,0.631118460241451
451.6,0.55547,101.0,15.919,3.4708e-06,0.06299,0.085735,0.05548,0.12842,0.068744,0.2307,0.6320703827560674
