Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g262),Error (curve),Error (g126),Error (g80),Error (g51),Error (g223),Error (g72),Error (g56),Reduced Error
1.7948,6.069e-08,214.97,5.554,0.060733,0.23506,0.63406,0.33084,0.46789,0.31658,0.53724,0.14573,0.24799,2.976133588913238
2.3191,6.038e-08,202.91,5.5003,0.060796,0.23357,0.87699,0.32622,0.4651,0.31448,0.46125,0.14786,0.24538,3.13163822422504
2.2171,8.7061e-08,224.66,5.5625,0.060613,0.23076,0.71641,0.32339,0.46084,0.31001,0.80039,0.14572,0.24246,3.2905921493021006
1.7666,5.5622e-08,214.74,5.1042,0.061189,0.23549,0.64284,0.33451,0.4686,0.31759,0.91614,0.14569,0.24885,3.3708787779130622
2.537,8.4537e-08,217.05,5.4988,0.060741,0.23016,0.58669,0.32141,0.45971,0.30925,1.0183,0.14695,0.24133,3.3745708682104274
2.3111,8.5864e-08,216.03,5.5739,0.060614,0.23074,0.63739,0.32268,0.4606,0.30998,0.97979,0.14613,0.24221,3.3901348819337636
1.8077,6.1068e-08,215.6,5.5322,0.06075,0.23495,0.62924,0.33077,0.46771,0.31641,0.96608,0.14574,0.24785,3.399494747845997
2.3365,7.967e-08,216.47,5.5346,0.060678,0.23119,0.58486,0.3234,0.46143,0.31074,1.0652,0.14656,0.24275,3.42684887571029
2.8875,9.3017e-08,215.81,5.0545,0.061298,0.22829,0.79985,0.32008,0.45624,0.30675,0.86946,0.14745,0.23895,3.428377176877321
1.8615,7.9605e-08,217.56,5.3801,0.060747,0.23262,0.95863,0.32853,0.46366,0.31283,0.69183,0.14465,0.24511,3.4386042300894406
