param_type,param_name,out_l_bound,in_u_bound,base,out_u_bound,in_l_bound
input,cp_tau_s,0,3.6010055481796703,10,1,2.406114192678464
input,cp_b,0,0.9599710276712154,10,1,-1.8033264995119396
input,cp_tau_0,0,2.652546084509984,10,1,1.6861445054235604
input,cp_n,0,1.2947527219101778,10,1,0.1377337947537125
input,average_strain,0,-0.5412866280662562,10,1,-2.0620460265328022
output,average_stress,0,3.8784241257073346,10,1,2.249149420044517
output,g14_phi_1,0,0.1537843864693698,10,1,0.1060888583824423
output,g14_Phi,0,0.3522211203496798,10,1,0.33312470871688343
output,g14_phi_2,0,0.6366884479532826,10,1,0.6257753144476248
output,g72_phi_1,0,0.7980841052113122,10,1,-4.079099606358917
output,g72_Phi,0,0.4668379746677671,10,1,0.4609429228889589
output,g72_phi_2,0,0.2965116246612989,10,1,0.22603250334495872
output,g95_phi_1,0,0.2848366376423964,10,1,0.2309850717135541
output,g95_Phi,0,0.30390849353595456,10,1,0.2801228963023076
output,g95_phi_2,0,0.5382468846719827,10,1,0.5280549663154652
output,g101_phi_1,0,0.20671796337583334,10,1,0.15329644935530526
output,g101_Phi,0,0.4008141922675589,10,1,0.3867129388585962
output,g101_phi_2,0,0.5524005011606835,10,1,0.5402919260943444
output,g207_phi_1,0,0.31674592767093174,10,1,0.2963580047413908
output,g207_Phi,0,0.28153331385737623,10,1,0.25239180318124427
output,g207_phi_2,0,0.5819951437610744,10,1,0.5714293030614898
output,g240_phi_1,0,0.38842094066116895,10,1,0.3712895730645561
output,g240_Phi,0,0.3823592975193185,10,1,0.3705315934430769
output,g240_phi_2,0,0.5759264411633406,10,1,0.5680256230379267
output,g262_phi_1,0,0.200248413515354,10,1,0.13909160752382263
output,g262_Phi,0,0.3986863535081929,10,1,0.37819797044591724
output,g262_phi_2,0,0.6059296359968462,10,1,0.5847720808661488
output,g287_phi_1,0,0.3517963068970235,10,1,0.32252939434145583
output,g287_Phi,0,0.3827192747307802,10,1,0.37604745204146633
output,g287_phi_2,0,0.5693036676305969,10,1,0.552838494288028
