Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g95),Error (g14),Error (g262),Error (g287),Error (g72),Error (g101),Error (g240),Error (g207),Reduced Error
0.020403,4.4969e-07,765.3,495.33,179.74,772.12,81.513,3.258,0.23439,0.13618,0.044012,0.11853,0.11327,0.094412,0.054421,0.2259,0.077257,1.0983766245699023
0.022714,4.4965e-07,761.13,497.98,178.67,772.66,82.177,3.2506,0.23433,0.13611,0.043865,0.11841,0.11337,0.094401,0.054793,0.22586,0.077606,1.0987340819678328
0.022712,4.4962e-07,763.4,505.49,179.93,794.53,82.219,3.2516,0.235,0.13596,0.043816,0.11834,0.1137,0.094137,0.054951,0.22575,0.078056,1.0997082822567357
0.022715,4.4965e-07,761.11,496.75,178.6,772.83,82.288,3.2506,0.23536,0.13611,0.043879,0.11841,0.11336,0.094406,0.054781,0.22586,0.077589,1.0997430111897382
0.023387,4.5124e-07,758.68,506.29,178.79,774.07,82.187,3.2535,0.23847,0.13604,0.04374,0.11836,0.11349,0.094383,0.05493,0.22577,0.077831,1.1030110294758673
0.02271,4.52e-07,761.09,497.6,178.67,761.65,82.033,3.2523,0.24112,0.13616,0.043853,0.11844,0.11324,0.09454,0.054741,0.22591,0.077411,1.1054199461981657
0.022673,4.4957e-07,761.11,495.58,178.58,772.41,81.283,3.26,0.24158,0.13617,0.044028,0.11857,0.11329,0.094317,0.054443,0.22589,0.077336,1.1056103084417601
0.022946,4.499e-07,746.17,502.98,181.49,786.71,82.115,3.2413,0.24391,0.13587,0.043782,0.11834,0.1137,0.0942,0.055047,0.22547,0.078393,1.1086997761273059
0.022775,4.5247e-07,747.05,503.04,181.5,785.96,82.453,3.2376,0.24403,0.13586,0.043732,0.11828,0.11371,0.094247,0.055165,0.22548,0.078448,1.1089571962652471
0.022678,4.5294e-07,761.05,507.98,182.35,761.01,82.194,3.2453,0.2463,0.13603,0.043623,0.11829,0.11346,0.094637,0.055165,0.22581,0.077851,1.1111672430722679
