Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g237),Error (g63),Error (g59),Error (curve),Error (g86),Reduced Error
1518.2,0.026626,121.93,6.4507,0.05689,0.10085,0.12552,0.075255,0.31755,0.055522,0.7315894029809612
1507.6,0.025853,125.96,6.4698,0.056913,0.10072,0.12493,0.075324,0.32108,0.055427,0.7343908287357154
1523.6,0.026881,122.32,6.5829,0.057071,0.10046,0.12586,0.074954,0.32192,0.055604,0.7358692218786714
1508.3,0.026508,122.32,6.4813,0.056971,0.10064,0.12549,0.075231,0.3228,0.055471,0.7366013484588394
1550.2,0.02658,121.99,6.4667,0.05678,0.1012,0.12565,0.075131,0.32362,0.055715,0.738101231196855
1519.6,0.027252,122.15,6.4395,0.056893,0.10084,0.1256,0.075237,0.3256,0.055535,0.7396981970152324
1521.0,0.02721,122.52,6.4348,0.056877,0.10088,0.12554,0.075247,0.32714,0.055539,0.7412240624603887
1505.5,0.027483,122.03,6.4535,0.056984,0.1006,0.12564,0.075239,0.32788,0.055463,0.7418047215893717
1526.4,0.026261,121.37,6.2584,0.056571,0.10163,0.12502,0.075674,0.32925,0.05548,0.7436288387754197
1507.8,0.026101,127.69,6.4581,0.056898,0.10073,0.12477,0.075343,0.33213,0.055418,0.7452879667733302
