Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g80),Error (g51),Error (g72),Error (curve),Error (g56),Error (g126),Error (g237),Error (g223),Reduced Error
611.35,429.62,38.661,231.49,146.9,118.6,62.982,11.133,0.11975,0.26962,0.13205,0.1088,0.22577,0.025063,0.02667,0.10205,0.12433,1.1341153320555502
606.28,419.74,38.394,225.24,148.68,119.54,63.144,11.173,0.11979,0.26978,0.13198,0.10876,0.22804,0.024961,0.026604,0.10196,0.1246,1.1364664094163308
598.51,422.68,36.837,231.75,146.89,116.61,63.279,11.142,0.11999,0.26975,0.13202,0.10844,0.22993,0.024865,0.026589,0.10193,0.12442,1.1379334500495715
611.38,426.76,36.675,225.69,147.6,127.67,63.033,10.879,0.1198,0.26965,0.13255,0.1091,0.22739,0.025037,0.026681,0.10243,0.12572,1.138354787003163
605.94,419.88,39.651,231.18,146.7,121.41,63.062,11.046,0.11987,0.26954,0.13206,0.10864,0.23647,0.024977,0.026645,0.10206,0.12445,1.144717752728073
612.5,421.79,34.685,231.64,147.12,109.43,62.614,12.06,0.11979,0.26979,0.13124,0.11272,0.23649,0.02478,0.02692,0.10154,0.1223,1.145577409103075
611.72,462.79,35.364,249.72,146.89,121.66,62.384,11.07,0.1197,0.26959,0.13225,0.10975,0.23762,0.025185,0.026803,0.10206,0.12397,1.1469364191406517
611.02,466.31,37.919,231.32,147.65,119.13,62.518,11.326,0.11934,0.2702,0.13195,0.10933,0.24777,0.025413,0.026708,0.1014,0.12298,1.155095939379625
605.9,419.79,40.83,230.37,148.77,119.4,63.028,11.175,0.11977,0.26962,0.13179,0.10857,0.25254,0.024999,0.026623,0.10182,0.12399,1.1597280225510913
605.9,421.0,40.846,230.17,150.51,117.35,62.96,11.179,0.11974,0.26963,0.13175,0.10816,0.25529,0.025008,0.026551,0.1018,0.12415,1.1620793289727112
