Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g80),Error (g51),Error (g72),Error (curve),Error (g56),Error (g126),Error (g237),Error (g223),Reduced Error
131.39,0.34424,174.58,223.75,90.76,0.78956,27.132,17.265,0.13896,0.2753,0.14174,0.46153,0.84206,0.044898,0.026377,0.078755,0.13069,2.140320305113315
130.11,14.553,2.9857,62.165,10.11,111.44,32.762,18.633,0.11113,0.26888,0.13059,0.54959,0.74459,0.036637,0.05393,0.094913,0.1595,2.149762719474477
3.8598,454.97,191.48,231.12,0.00198,113.74,111.35,18.637,0.096595,0.24646,0.1893,0.64937,0.34838,0.12354,0.15819,0.14153,0.19806,2.151421417873736
3.9735,454.75,191.67,230.02,0.00221,115.7,111.23,18.638,0.096406,0.24639,0.18785,0.66342,0.34173,0.12201,0.15686,0.14131,0.197,2.152967264084112
3.83,453.2,190.82,239.11,0.0019843,114.13,111.42,18.634,0.096622,0.24645,0.1895,0.64664,0.35333,0.12372,0.15828,0.14155,0.19816,2.154252617741447
3.8606,454.77,191.52,231.12,0.0020393,113.74,111.35,18.638,0.096546,0.24645,0.18899,0.6559,0.34796,0.12319,0.1579,0.14149,0.19781,2.1562317562193676
3.7881,456.15,183.31,224.33,0.0012869,108.26,111.54,18.586,0.097247,0.24692,0.19347,0.52752,0.4673,0.12799,0.16201,0.14177,0.20161,2.1658408660888364
3.7789,459.39,191.6,223.51,0.0014892,108.22,111.4,18.587,0.097073,0.24667,0.19226,0.57533,0.4274,0.12669,0.16102,0.14188,0.20049,2.1688109497999544
4.1682,494.46,180.81,241.7,0.0022635,105.93,105.38,17.571,0.09661,0.24678,0.18678,0.65782,0.36806,0.12095,0.155,0.14077,0.19617,2.1689448385075294
3.8647,454.12,191.47,231.69,0.0020348,107.42,111.12,18.63,0.096571,0.24653,0.18899,0.66898,0.35452,0.12306,0.15778,0.14144,0.19778,2.175655322226062
