iteration,cp_lh_0,cp_lh_1,cp_tau_0,cp_n,stress_error,geodesic_error,reduced_error
1,777.38,27.64,15.082,1.4116,0.42091683122032325,0.14255759504049836,0.46629432307229923
2,179.62,514.0,54.752,1.3876,0.3294215000903414,0.14734518057320548,0.3763229277483285
3,282.67,533.47,74.562,2.0002,0.0889811293309321,0.13174586213599176,0.130917139712625
4,113.68,624.11,38.565,19.972,0.3088394489190314,0.10591012247565368,0.3425516879499681
5,163.31,575.2,61.71,12.043,0.030120420888341014,0.10253716390113084,0.06275901385931866
6,76.454,190.93,63.836,14.728,0.28250739618220755,0.20930922638368593,0.3491325922096159
7,178.21,592.44,62.189,10.784,0.01567737596961613,0.10212272489233415,0.04818404890687358
8,169.9,580.96,63.889,11.97,0.014819747010140192,0.10223885259381127,0.04736338454283762
9,176.53,494.1,61.555,11.889,0.029662487999752084,0.10155194451331152,0.0619874758995269
10,181.11,587.69,62.764,10.85,0.019377108888970082,0.10196735726916416,0.05183432677577965
11,178.99,529.16,63.706,11.074,0.014560676578348829,0.10170447056578419,0.04693421502852629
12,189.2,492.44,62.525,11.29,0.01723658125092732,0.13226778222899252,0.05933872395802034
13,182.86,653.35,62.03,10.798,0.02674318308465741,0.1023276991938136,0.05931510136848939
14,182.62,541.97,64.103,9.7683,0.018405083554919134,0.10266468762421421,0.05108426858767719
15,182.48,537.94,63.547,11.186,0.01791076535067695,0.10167633624512076,0.050275348368446174
16,176.67,595.51,62.904,10.458,0.016294212256774774,0.10239982503304856,0.04888908890828454
