Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g63),Error (curve),Error (g86),Error (g237),Error (g303),Error (g59),Reduced Error
1855.9,0.12146,122.08,19.995,0.13032,0.21877,0.055766,0.083866,0.071534,0.062303,0.6225650734191154
1856.1,0.12012,122.93,19.995,0.13019,0.21965,0.055771,0.083935,0.07144,0.062336,0.6233163273731847
1856.9,0.12144,122.23,19.998,0.13032,0.21966,0.055768,0.083872,0.071525,0.062302,0.6234422051883535
1853.8,0.11998,123.16,19.981,0.13013,0.22082,0.055766,0.083942,0.071423,0.062346,0.6244314673222707
1854.3,0.11984,122.75,19.999,0.13017,0.22084,0.055769,0.083939,0.07144,0.062344,0.6245066094934704
1892.5,0.12123,122.46,20.0,0.13059,0.22142,0.055834,0.083891,0.071512,0.062236,0.6254850590596623
1892.4,0.12071,122.55,19.996,0.13055,0.2216,0.055832,0.083912,0.071487,0.062246,0.625627489946486
1888.1,0.12125,122.49,19.989,0.13055,0.22169,0.055823,0.083889,0.071511,0.062245,0.6257036813979796
1892.2,0.12109,122.3,19.955,0.13058,0.22171,0.055824,0.083883,0.071522,0.062241,0.6257534032996546
1891.8,0.12056,122.53,19.984,0.13054,0.22202,0.055828,0.083915,0.071484,0.062251,0.626039411067262
