iteration,cp_tau_s,cp_b,cp_tau_0,cp_n,stress_error,geodesic_error,reduced_error
1,147.02,1.9881,230.91,18.842,0.37247686431808286,0.07249085482964195,0.3955514200682719
2,436.85,0.28826,210.74,11.271,0.19462720884213305,0.07161236271773622,0.217422131868168
3,1269.3,0.031724,12.856,19.804,0.8919715647059461,0.07466435824071108,0.9157379680795326
4,1740.1,0.06619,228.42,13.102,0.2585519414682083,0.07154431700776648,0.2813252048720475
5,546.41,0.41944,125.4,19.971,0.04901911480690641,0.07297106665222083,0.07224652672768463
6,737.96,0.36617,108.38,19.993,0.04211261899762331,0.07351007271632995,0.06551160187732047
7,699.95,0.35718,126.92,19.976,0.015172531950557887,0.07321265529178093,0.038476843923697775
8,647.15,0.40789,118.69,19.892,0.014836750765572412,0.07330880808526694,0.038171669123463085
9,646.78,0.40016,122.24,19.988,0.01207333184541195,0.07326678088954719,0.035394872531416446
10,660.53,0.41362,118.48,19.461,0.014066834663876199,0.07329506508031416,0.03739737848742453
11,714.67,0.35745,125.86,19.996,0.017752765824982086,0.07324249909893986,0.04106657737698202
12,663.56,0.37593,120.3,19.114,0.021287668971042176,0.07317279951777646,0.04457929445729493
13,658.68,0.404,120.67,19.999,0.013162335081113509,0.07331713413692029,0.03649990370355832
14,648.72,0.40304,120.85,19.785,0.012412777485601016,0.07326795886641681,0.03573469313328881
15,690.04,0.37487,121.59,19.983,0.012057095567365988,0.07329797936194074,0.035388567035567184
