Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g72),Error (g101),Error (g95),Error (g240),Error (g207),Error (curve),Error (g262),Error (g287),Reduced Error
479.94,8.1903,77.675,4.7541,0.045407,0.10132,0.041455,0.13222,0.22031,0.07385,0.38994,0.11941,0.11722,1.2411194962209728
485.07,8.2236,77.284,4.7934,0.045406,0.10143,0.041283,0.13215,0.22029,0.073787,0.39295,0.11949,0.1173,1.244085569732218
481.56,8.2764,76.502,4.7365,0.045469,0.10138,0.041336,0.13217,0.22039,0.073792,0.39417,0.11954,0.11717,1.2454141641580898
481.7,8.1911,76.495,4.7365,0.045429,0.10139,0.041452,0.13219,0.22039,0.073928,0.39436,0.11946,0.11724,1.2458455627264489
482.44,8.2095,76.671,4.7723,0.04544,0.10143,0.041277,0.13215,0.22034,0.073793,0.39568,0.11951,0.11727,1.2468895790182013
482.47,8.2102,76.362,4.7352,0.045435,0.1014,0.041437,0.13218,0.2204,0.073921,0.39547,0.11948,0.11724,1.2469628372672685
463.94,8.1826,77.912,4.7421,0.045558,0.10117,0.041145,0.13221,0.22029,0.073429,0.39713,0.11951,0.11695,1.2473960385498661
483.85,8.2228,77.228,4.8264,0.04544,0.10147,0.041071,0.13211,0.22025,0.073622,0.39665,0.11955,0.11731,1.2474718132335194
481.3,8.3904,76.949,4.8469,0.045565,0.10147,0.040658,0.13203,0.22024,0.073204,0.39807,0.11979,0.11715,1.2481729373480825
482.57,8.329,76.493,4.7987,0.045515,0.10146,0.040966,0.13208,0.22032,0.073507,0.3984,0.11968,0.11719,1.2491208765218542
