Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Param (cp_gamma_0),Error (g59),Error (g237),Error (g86),Error (g63),Error (g303),Error (curve),Reduced Error
302.32,0.50201,75.631,12.165,7.615e-08,0.06335,0.097151,0.05802,0.13909,0.061509,0.19708,0.6161963410491398
305.27,0.50201,72.975,12.165,7.6618e-08,0.06339,0.096949,0.057993,0.13929,0.061648,0.19826,0.6175326327116986
304.75,0.50735,73.694,12.139,7.6425e-08,0.063365,0.097107,0.058039,0.13925,0.061539,0.19876,0.6180555465846151
304.96,0.50125,71.169,11.747,7.3594e-08,0.063496,0.097607,0.058191,0.13951,0.061245,0.19987,0.6199185719844448
296.55,0.52881,72.963,12.047,8.1678e-08,0.063466,0.09695,0.057883,0.13892,0.061563,0.20141,0.6201963275366729
304.79,0.50419,74.319,12.187,7.369e-08,0.063312,0.097344,0.058175,0.13943,0.061424,0.20276,0.6224487745870482
303.59,0.50425,75.647,12.21,7.6574e-08,0.063332,0.09709,0.058007,0.13908,0.061544,0.2044,0.6234608631085377
309.08,0.50203,71.892,12.237,7.5537e-08,0.06336,0.096932,0.058054,0.13952,0.06168,0.20566,0.6252062119274794
297.06,0.5326,71.534,12.144,8.1408e-08,0.06345,0.096842,0.057902,0.13911,0.061647,0.20771,0.6266546022676176
302.54,0.51781,72.143,12.211,7.364e-08,0.063315,0.097378,0.058246,0.13967,0.061412,0.20842,0.628441239507844
