Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g237),Error (g63),Error (curve),Error (g59),Error (g86),Reduced Error
1784.4,0.12744,115.82,15.907,0.06367,0.090343,0.12018,0.22213,0.06528,0.054835,0.616436758743174
1773.2,0.12694,116.96,15.93,0.06366,0.090323,0.12009,0.22298,0.065295,0.054829,0.6171806768084351
1778.4,0.12713,116.56,15.83,0.063854,0.090106,0.12049,0.22305,0.065239,0.054855,0.6175996255041771
1769.3,0.12756,116.57,15.829,0.063862,0.090091,0.12039,0.22412,0.065246,0.054844,0.6185546797338852
1772.8,0.12799,116.38,15.835,0.063871,0.090087,0.12041,0.22497,0.06523,0.054846,0.6194104900071545
1774.8,0.12829,116.05,15.828,0.063882,0.090081,0.12043,0.22652,0.065222,0.054847,0.6209728995589933
1784.9,0.12858,115.62,15.828,0.063887,0.09009,0.12051,0.22898,0.065201,0.054855,0.6235182313628788
1781.9,0.12738,117.17,15.838,0.063914,0.090024,0.1206,0.22944,0.065199,0.054867,0.6240432607118979
1771.3,0.12629,117.64,16.026,0.063466,0.090542,0.11975,0.23068,0.065353,0.054811,0.624599377714532
1773.3,0.12773,116.94,15.657,0.064232,0.089668,0.12116,0.22992,0.065145,0.054901,0.6250275056608576
