Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (g63),Error (g237),Error (g303),Error (g59),Error (curve),Error (g86),Reduced Error
306.35,180.8,68.715,5.3228,6.5809e-05,0.28062,0.04713,0.028347,0.030624,0.5586,0.020596,0.16098708984503476
305.13,166.43,68.262,5.4386,6.2217e-05,0.27968,0.046446,0.028532,0.030503,0.56378,0.020526,0.16157676253627742
323.03,180.72,66.357,5.5017,6.537e-05,0.2802,0.046336,0.028595,0.030429,0.57477,0.020585,0.16348624264592523
308.02,182.2,69.443,5.332,6.6666e-05,0.28054,0.047091,0.028357,0.030617,0.57978,0.020586,0.1644946214383375
302.61,176.44,68.595,5.801,6.5832e-05,0.27829,0.04553,0.028914,0.030306,0.58972,0.020508,0.16554564944444863
302.61,176.44,68.595,5.801,6.4475e-05,0.27828,0.045523,0.028917,0.03031,0.59141,0.020506,0.16582322614783804
307.22,180.8,66.963,5.1829,6.4408e-05,0.28175,0.04769,0.028186,0.03071,0.58808,0.02065,0.16617742530820323
305.82,166.97,66.694,5.2882,6.5627e-05,0.28087,0.047059,0.028339,0.030584,0.59734,0.020577,0.16746177530472706
302.6,175.51,67.676,5.8049,6.6637e-05,0.27841,0.045524,0.028916,0.030295,0.60351,0.020519,0.16786181505971987
304.52,176.32,69.749,5.6283,6.6463e-05,0.27876,0.045957,0.028732,0.030421,0.60352,0.0205,0.16798081489059247
