Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g63),Error (curve),Error (g86),Error (g237),Error (g303),Error (g59),Reduced Error
2000.0,0.11665,123.47,20.0,0.13077,0.22441,0.055905,0.083938,0.071593,0.062183,0.6287997115791125
2000.0,0.11671,123.53,20.0,0.13076,0.22448,0.055905,0.083938,0.071591,0.06218,0.6288567532929205
2000.0,0.11658,123.62,20.0,0.13074,0.22451,0.055905,0.083949,0.071577,0.062175,0.6288635610889727
1999.8,0.11661,123.63,19.992,0.13074,0.22464,0.055905,0.08395,0.071576,0.062176,0.6289889860983141
1999.6,0.11655,123.53,19.965,0.13075,0.2247,0.055904,0.083953,0.071576,0.062183,0.6290598213471456
1999.9,0.11665,123.73,19.997,0.13073,0.22505,0.055906,0.083952,0.071571,0.062171,0.6293837451048816
2000.0,0.11639,123.87,20.0,0.1307,0.2251,0.055906,0.083971,0.071547,0.062162,0.6293895685156552
2000.0,0.11659,123.32,20.0,0.13078,0.22499,0.055904,0.083935,0.0716,0.062188,0.6293948039951626
1994.3,0.11675,123.59,19.991,0.13073,0.22512,0.055903,0.08395,0.071575,0.062172,0.6294421426095395
2000.0,0.11662,123.28,19.99,0.13078,0.22513,0.055904,0.083934,0.071602,0.062192,0.6295451773696069
