Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (g63),Error (g86),Error (g59),Error (g237),Error (curve),Error (g303),Reduced Error
206.6,511.04,63.66,15.163,5.7604e-05,0.12796,0.053734,0.06583,0.095061,0.26683,0.066977,0.6763889424052764
206.32,511.04,63.817,15.163,5.7351e-05,0.12793,0.053726,0.065836,0.095071,0.2669,0.066965,0.6764273489230826
204.94,507.09,63.937,15.142,5.7643e-05,0.12788,0.05373,0.065854,0.095131,0.26787,0.066892,0.6773566775210724
206.13,511.0,63.484,15.163,6.0121e-05,0.128,0.053765,0.065855,0.095264,0.26931,0.066842,0.6790361145366391
206.64,514.27,63.359,15.207,5.7465e-05,0.12798,0.053717,0.065843,0.095096,0.26964,0.067,0.6792734151088387
206.05,514.25,63.782,15.228,5.6512e-05,0.12789,0.053693,0.065852,0.09508,0.26993,0.067001,0.6794452919751767
205.4,512.2,63.495,15.59,5.7401e-05,0.12787,0.053692,0.065821,0.094996,0.27095,0.067131,0.6804552237786218
207.59,492.17,63.602,15.286,5.5784e-05,0.12803,0.053807,0.065659,0.094376,0.27194,0.067317,0.6811362335976142
207.87,508.12,63.773,14.916,5.8445e-05,0.12805,0.053786,0.065815,0.095059,0.27161,0.066886,0.6812095885067674
206.21,503.64,63.879,15.823,5.7661e-05,0.12786,0.053741,0.065722,0.094676,0.2723,0.067296,0.6815964004093691
