Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g126),Error (g237),Error (g56),Error (curve),Error (g80),Error (g262),Error (g72),Error (g223),Error (g51),Reduced Error
232.54,201.52,63.586,8.3729,0.029327,0.088856,0.023797,0.35146,0.26279,0.11513,0.10692,0.12702,0.12237,1.2276657568933782
232.44,200.88,63.457,8.3706,0.029347,0.088892,0.023831,0.35491,0.26276,0.11512,0.10959,0.12705,0.12238,1.233871765772923
232.51,201.32,63.521,8.3433,0.029314,0.08884,0.023863,0.35121,0.26278,0.11515,0.11394,0.12701,0.12242,1.2345268852676534
232.41,201.4,63.464,8.3763,0.029343,0.088907,0.023815,0.35424,0.26277,0.11511,0.11116,0.12706,0.12237,1.234778422728854
232.55,201.41,63.384,8.372,0.02935,0.088931,0.023844,0.35639,0.26276,0.11511,0.11081,0.12707,0.12238,1.2366407538480675
236.08,201.53,63.471,8.3492,0.029364,0.088844,0.023967,0.35734,0.26276,0.11508,0.11023,0.12686,0.12232,1.2367573449898148
235.99,201.52,63.568,8.3707,0.029368,0.088832,0.023904,0.36383,0.26277,0.11507,0.1047,0.12686,0.12227,1.23760114526372
235.77,202.63,63.712,8.3716,0.029335,0.088799,0.023855,0.37543,0.26281,0.11509,0.10062,0.12685,0.12227,1.2450627113406767
234.2,198.77,63.469,8.3611,0.029388,0.088826,0.023914,0.3532,0.26273,0.11508,0.12689,0.12692,0.12233,1.2492752203378825
230.58,201.5,63.586,8.3348,0.029276,0.088828,0.023809,0.35896,0.2628,0.11519,0.12254,0.12708,0.12249,1.250966941855741
