Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Reduced Error
903.09,2.7765,188.2,1.8689,0.0,0.0
895.94,2.7447,188.87,1.8958,0.0,0.0
912.72,2.7198,190.08,1.8636,0.0,0.0
912.64,2.7902,188.11,1.9049,0.0,0.0
905.49,2.705,190.02,1.8918,0.0,0.0
906.72,2.7635,192.05,1.8702,0.0,0.0
899.92,2.7216,192.5,1.877,0.0,0.0
904.27,2.7535,190.87,1.9008,0.0,0.0
917.52,2.6873,190.31,1.8721,0.0,0.0
914.57,2.7242,184.86,1.7924,0.0,0.0
