Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g39),Error (g185),Error (g238),Error (g164),Error (g243),Error (g50),Error (g138),Error (g223),Error (curve),Reduced Error
216.74,5.9974,7.9693,1.1651,0.081372,0.056525,0.18849,0.12457,0.071457,0.25592,0.16332,0.25692,1.041,2.239578521800605
218.64,5.997,8.241,1.1708,0.081527,0.056499,0.18843,0.1244,0.071468,0.25509,0.16334,0.25643,1.0443,2.2415063423166464
219.81,6.001,7.908,1.1879,0.081422,0.056281,0.18836,0.12469,0.071421,0.25598,0.16346,0.25793,1.043,2.2425804257859414
216.99,6.0108,7.5553,1.1681,0.081223,0.056352,0.18853,0.12481,0.071457,0.25706,0.16342,0.25741,1.0453,2.2455942081292206
220.67,5.9679,8.4398,1.1675,0.081626,0.056475,0.18844,0.1242,0.071497,0.25439,0.16336,0.25504,1.0507,2.2457517730468033
220.62,5.9944,8.1717,1.1999,0.081534,0.056307,0.18825,0.12463,0.071383,0.25529,0.16344,0.25867,1.0464,2.245931460594046
215.09,5.9786,7.9561,1.1642,0.081298,0.056626,0.18848,0.12465,0.071416,0.25608,0.16325,0.25765,1.0476,2.2470174350155228
214.32,5.9892,7.9814,1.1653,0.081298,0.056672,0.18847,0.12467,0.071406,0.2561,0.16322,0.25813,1.0537,2.253692275266272
213.05,6.0476,8.2821,1.0963,0.08151,0.057006,0.18893,0.12382,0.071734,0.25499,0.16308,0.25149,1.0677,2.2602648389005875
220.59,6.0173,8.1227,1.1409,0.081577,0.056413,0.18868,0.12407,0.071641,0.25506,0.16342,0.25262,1.0714,2.2649248411674714
