Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Reduced Error
685.01,0.79027,149.16,2.3871,0.026485,0.026485009695870733
685.01,0.79027,149.16,2.3871,0.026485,0.026485009695870733
685.01,0.79027,149.16,2.3871,0.026485,0.026485009695870733
685.01,0.79027,149.16,2.3871,0.026485,0.026485009695870768
685.01,0.79027,149.16,2.3871,0.026485,0.02648500969587077
685.01,0.79027,149.16,2.3871,0.026485,0.026485009695870785
685.01,0.79027,149.16,2.3871,0.026485,0.02648500969587079
685.01,0.79027,149.16,2.3871,0.026485,0.026485009695870813
685.01,0.79027,149.16,2.3871,0.026485,0.026485009695870834
685.01,0.79027,149.16,2.3871,0.026485,0.026485009695870834
