Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g72),Error (g56),Error (g237),Error (curve),Error (g223),Error (g126),Error (g80),Error (g262),Error (g51),Reduced Error
1574.5,0.17063,123.37,5.1846,0.10822,0.049531,0.10003,0.25963,0.13627,0.031394,0.25377,0.11416,0.13487,1.1878802667976625
1574.4,0.17044,123.75,5.1445,0.10828,0.050136,0.10039,0.26569,0.13645,0.031556,0.25357,0.11411,0.13512,1.1953081368842764
1574.5,0.17145,123.26,5.157,0.10804,0.049954,0.10023,0.26831,0.13635,0.031469,0.25365,0.11413,0.13504,1.197173572794071
1574.4,0.16701,125.14,5.2281,0.10877,0.048888,0.099926,0.2757,0.13631,0.031436,0.25391,0.11417,0.13461,1.2037261191416637
1574.3,0.17198,122.45,5.0965,0.108,0.050903,0.10064,0.27541,0.13655,0.031587,0.25338,0.11408,0.13541,1.2059499706138408
1577.2,0.16813,123.4,5.151,0.10844,0.050011,0.10036,0.27735,0.1365,0.031538,0.2536,0.11411,0.13508,1.2069853704009552
1575.7,0.17069,123.73,5.2461,0.10835,0.048619,0.099559,0.28124,0.136,0.031197,0.25407,0.11423,0.13447,1.2077258863937608
1565.6,0.1707,123.54,5.0646,0.10855,0.051418,0.10105,0.27598,0.13681,0.03179,0.25316,0.11402,0.13563,1.2084143582782292
1617.6,0.16844,123.28,5.2218,0.10794,0.048852,0.099699,0.28284,0.13602,0.031235,0.25397,0.11419,0.13456,1.2093106834122975
1574.7,0.16639,124.68,5.1485,0.1089,0.050062,0.10053,0.28107,0.13664,0.031663,0.25353,0.11408,0.13511,1.2115887055998473
