Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (curve),Error (g63),Error (g303),Error (g237),Error (g59),Reduced Error
790.24,0.31973,120.8,19.477,0.055778,0.23256,0.12999,0.070509,0.084602,0.062054,0.6354947453620614
783.69,0.32334,120.39,19.487,0.055775,0.23305,0.13003,0.070558,0.084564,0.062057,0.6360317672512814
781.98,0.32313,121.11,19.672,0.055775,0.23337,0.13001,0.070516,0.084579,0.062022,0.636278264165166
793.42,0.31977,120.62,19.521,0.055779,0.23363,0.13003,0.070541,0.08458,0.06204,0.6365973190293964
784.38,0.32279,120.32,19.491,0.055774,0.23369,0.13003,0.07056,0.084565,0.062057,0.6366765087348895
768.89,0.32681,121.42,19.908,0.055769,0.23398,0.13001,0.070487,0.08458,0.061996,0.6368211670766035
764.95,0.32826,121.78,19.749,0.055774,0.23417,0.12994,0.070436,0.084614,0.062023,0.6369541491748337
760.67,0.33152,121.51,20.0,0.05577,0.23431,0.13003,0.070493,0.084562,0.061981,0.6371380167868258
768.93,0.32643,121.74,20.0,0.05577,0.23445,0.13001,0.070467,0.084588,0.06198,0.6372632079323127
778.87,0.3253,120.29,19.754,0.055768,0.23427,0.13009,0.070598,0.084525,0.062014,0.6372655147216214
