Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g63),Error (g86),Error (curve),Error (g59),Error (g237),Reduced Error
1996.0,0.1231,125.31,7.868,0.064321,0.12885,0.054883,0.18656,0.067179,0.090671,0.5924631228027684
1996.0,0.12466,123.98,7.9168,0.064525,0.12899,0.054897,0.18749,0.067101,0.090484,0.593484754899364
1996.2,0.12351,123.95,7.9478,0.064499,0.12886,0.05489,0.18787,0.067108,0.090494,0.5937296686768563
1924.8,0.12853,124.74,7.6468,0.063997,0.12914,0.054869,0.18901,0.067294,0.09101,0.5953244751876823
1996.0,0.12379,123.58,7.9675,0.064555,0.12889,0.054893,0.18951,0.067087,0.090441,0.5953752558929856
1995.8,0.12353,123.86,7.9168,0.064471,0.12891,0.05489,0.18971,0.067126,0.090529,0.5956392720290646
1930.5,0.12896,123.97,7.9658,0.064591,0.12897,0.054914,0.19098,0.067045,0.090412,0.5969189330932096
1924.8,0.12859,124.54,7.4212,0.063555,0.1293,0.054818,0.19051,0.067454,0.091454,0.597092310732394
1923.5,0.12859,124.67,7.4204,0.063547,0.12929,0.054818,0.19057,0.067458,0.091462,0.5971491388995019
1996.1,0.12473,124.54,7.7687,0.064262,0.12907,0.054879,0.19114,0.067202,0.090747,0.5973026758162249
