Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g237),Error (g72),Error (g56),Error (g126),Error (g51),Error (g223),Error (g80),Error (curve),Reduced Error
1966.7,0.1323,119.07,4.28,0.1135,0.11079,0.090238,0.067228,0.036821,0.14508,0.14222,0.24786,0.4007,1.3544373950564879
1966.6,0.13201,120.02,4.2802,0.11349,0.11083,0.090364,0.067277,0.036896,0.14509,0.14224,0.24785,0.40051,1.3545505878383624
1960.9,0.13029,118.37,4.361,0.11369,0.11004,0.087084,0.066005,0.036222,0.14471,0.14174,0.24833,0.40768,1.355508402026785
1971.3,0.13235,119.52,4.2279,0.11334,0.11135,0.092538,0.067975,0.037279,0.1453,0.14256,0.24752,0.39983,1.35770941560551
1966.7,0.13263,119.48,4.2277,0.11337,0.11131,0.092462,0.067988,0.037235,0.14531,0.14254,0.24755,0.40175,1.3595174311748144
1970.7,0.1297,121.5,4.3156,0.11354,0.11063,0.089272,0.066768,0.036842,0.14494,0.1421,0.24799,0.41038,1.3624654668744158
1944.2,0.13295,119.75,4.2414,0.11353,0.11099,0.091568,0.067823,0.036965,0.14528,0.14237,0.24774,0.41135,1.367618733818019
1970.8,0.13183,119.35,4.2188,0.11333,0.11144,0.092913,0.068053,0.03734,0.14534,0.14261,0.24747,0.4102,1.3686956728403104
1963.6,0.13324,120.34,4.1807,0.11327,0.11178,0.094528,0.068737,0.037628,0.14553,0.14283,0.24727,0.40772,1.3692895147007633
1979.7,0.12909,119.02,4.3371,0.11354,0.11044,0.088312,0.066281,0.036592,0.14481,0.14196,0.2481,0.4219,1.3719345855684735
