Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g63),Error (g86),Error (curve),Error (g59),Error (g237),Reduced Error
1999.7,0.12488,124.29,7.3606,0.063395,0.12936,0.054853,0.28099,0.067512,0.09142,0.6875292905398038
1999.6,0.12488,124.29,7.3606,0.063395,0.12936,0.054853,0.281,0.067512,0.09142,0.687531982094175
1999.7,0.12474,124.31,7.3704,0.063408,0.12933,0.054854,0.28111,0.067507,0.091403,0.6876149389526744
1999.8,0.1248,124.39,7.3698,0.063406,0.12933,0.054855,0.28114,0.067506,0.091406,0.6876429750791986
1999.8,0.12481,123.97,7.4693,0.063608,0.1292,0.054869,0.28185,0.06743,0.09117,0.6881219652605159
1997.7,0.12519,124.06,7.3245,0.063353,0.12942,0.054841,0.28154,0.067536,0.091471,0.688162757644683
1999.8,0.12478,123.97,7.4688,0.063606,0.1292,0.054869,0.2819,0.067431,0.091172,0.6881745211630178
2000.0,0.12478,123.94,7.4679,0.063604,0.1292,0.054869,0.28192,0.067431,0.091175,0.6882034638617208
1993.6,0.12479,124.3,7.3742,0.063444,0.12928,0.054836,0.28184,0.067517,0.091347,0.6882655826496571
1999.2,0.12443,124.33,7.4245,0.063499,0.12923,0.05486,0.28209,0.067473,0.091292,0.688442402084402
