Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g207),Error (g95),Error (g14),Error (g287),Error (g240),Error (g262),Error (g101),Error (curve),Error (g72),Reduced Error
302.6,739.14,80.227,3.367,0.091669,0.13858,0.043749,0.11325,0.21903,0.11944,0.072134,0.38209,0.096293,1.2762365233767936
302.56,742.59,80.194,3.3647,0.091801,0.1386,0.043743,0.11327,0.21903,0.11943,0.072312,0.38406,0.096259,1.2785052747434764
302.96,738.89,80.395,3.3295,0.092134,0.13864,0.043726,0.11337,0.21912,0.11928,0.07284,0.38347,0.096148,1.278721124902063
302.47,743.85,79.903,3.3811,0.091629,0.13857,0.043753,0.11322,0.21899,0.11951,0.072036,0.38474,0.096315,1.2787734871599232
303.89,745.99,80.089,3.3119,0.092518,0.1387,0.043713,0.11343,0.21916,0.11921,0.073363,0.38498,0.096051,1.281121667738062
302.42,741.75,80.77,3.3085,0.092535,0.1387,0.04371,0.11348,0.21916,0.11915,0.073437,0.38579,0.096051,1.2820059869906728
305.08,742.05,80.034,3.3958,0.091242,0.13852,0.043749,0.11315,0.21898,0.11962,0.071476,0.3894,0.096367,1.2824915771958507
302.31,743.78,79.24,3.4025,0.091334,0.13853,0.043763,0.11313,0.21895,0.11967,0.071591,0.39061,0.09636,1.2839426426907594
302.48,744.25,80.846,3.3068,0.09263,0.13872,0.043707,0.1135,0.21916,0.11913,0.073568,0.38764,0.096031,1.284074160223454
302.42,744.26,80.818,3.3022,0.092693,0.13873,0.043705,0.11351,0.21917,0.11911,0.073661,0.38787,0.096014,1.2844634085699849
