Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Param (cp_gamma_0),Error (g59),Error (g237),Error (g86),Error (g63),Error (g303),Error (curve),Reduced Error
448.37,0.52395,99.382,15.886,2.0371e-06,0.063105,0.085649,0.055504,0.12816,0.068867,0.26016,0.6614470031473252
450.53,0.52402,99.974,15.886,2.1409e-06,0.063098,0.085663,0.055508,0.1282,0.068856,0.2627,0.6640220829717463
451.87,0.51408,98.26,15.886,1.8854e-06,0.063098,0.085497,0.055532,0.12831,0.069043,0.26406,0.6655319253388292
451.82,0.52476,100.09,15.887,2.1282e-06,0.063094,0.08567,0.055513,0.1282,0.068848,0.2648,0.666119814470275
451.01,0.52407,99.121,15.738,2.116e-06,0.063144,0.085631,0.0555,0.12819,0.068893,0.26482,0.6661799759105649
449.64,0.52337,99.647,15.718,2.122e-06,0.063149,0.085699,0.055504,0.12815,0.068815,0.26535,0.6666651413294367
452.9,0.51167,99.523,15.739,2.0125e-06,0.06313,0.085618,0.055547,0.12828,0.068911,0.26547,0.6669578445085584
453.12,0.52395,99.382,15.886,2.0371e-06,0.063093,0.085608,0.055515,0.12823,0.068918,0.26565,0.6670158409954956
451.47,0.52649,99.223,15.736,2.1098e-06,0.063142,0.085653,0.055497,0.12817,0.068867,0.26639,0.6677169621222523
444.68,0.52386,100.09,15.885,2.059e-06,0.06311,0.085748,0.055499,0.12808,0.068753,0.26774,0.6689360746903683
