Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (g63),Error (g303),Error (g237),Error (curve),Error (g59),Reduced Error
646.19,0.73131,155.89,3.6568,0.060834,0.14712,0.052345,0.11473,0.63274,0.072895,1.0806638780066287
636.82,0.74086,151.78,3.6531,0.06069,0.14695,0.05232,0.11458,0.63585,0.072922,1.0833058221951126
636.33,0.73944,150.82,3.6539,0.060671,0.14693,0.052318,0.11455,0.63737,0.072914,1.084754321750411
634.03,0.74424,153.0,3.673,0.060551,0.14679,0.052362,0.1143,0.63908,0.072876,1.0859619131383285
635.84,0.74873,160.9,3.6317,0.060892,0.14718,0.05231,0.11493,0.64539,0.073052,1.0937548989634254
639.2,0.72916,150.95,3.6499,0.060745,0.14707,0.052313,0.11466,0.64697,0.072911,1.094660034722413
641.54,0.74945,147.47,3.6517,0.06069,0.14681,0.052302,0.11461,0.65206,0.072892,1.0993687619784576
630.09,0.75355,138.29,3.6549,0.060425,0.14652,0.052272,0.11427,0.6537,0.072863,1.1000543445831208
625.2,0.73818,154.98,3.6898,0.060389,0.14673,0.052404,0.114,0.65702,0.072859,1.1033961027400987
643.19,0.75248,138.14,3.6552,0.060569,0.14658,0.052274,0.11447,0.65691,0.07282,1.1036194845612948
